Label,String
talk_01,"talk_01"
talk_14,"talk_14"
0008,"0008"
talk_02,"talk_02"
talk_03,"talk_03"
talk_16,"talk_16"
talk_04,"talk_04"
talk_17,"talk_17"
talk_05,"talk_05"
talk_18,"talk_18"
talk_06,"talk_06"
talk_19,"talk_19"
talk_07,"talk_07"
talk_08,"talk_08"
talk_09,"talk_09"
0001,"0001"
talk_20,"talk_20"
0002,"0002"
talk_21,"talk_21"
0003,"0003"
talk_22,"talk_22"
0004,"0004"
talk_10,"talk_10"
talk_23,"talk_23"
talk_11,"talk_11"
talk_24,"talk_24"
0005,"0005"
talk_25,"talk_25"
0006,"0006"
talk_12,"talk_12"
talk_00,"talk_00"
0007,"0007"
talk_13,"talk_13"
