Label,String
0014,"0014"
talk0041,"talk0041"
near0029,"near0029"
0015,"0015"
talk0042,"talk0042"
near0030,"near0030"
talk036_01,"talk036_01"
talk0043,"talk0043"
talk0044,"talk0044"
talk035_01,"talk035_01"
talk0045,"talk0045"
talk0046,"talk0046"
talk032,"talk032"
near0006,"near0006"
talk0047,"talk0047"
talk033,"talk033"
talk0048,"talk0048"
talk034,"talk034"
talk0020,"talk0020"
talk0049,"talk0049"
talk035,"talk035"
talk0021,"talk0021"
talk0050,"talk0050"
talk036,"talk036"
talk0051,"talk0051"
talk0022,"talk0022"
talk0052,"talk0052"
talk0023,"talk0023"
talk0024,"talk0024"
talk0025,"talk0025"
talk0026,"talk0026"
talk0027,"talk0027"
talk0028,"talk0028"
talk0029,"talk0029"
talk0030,"talk0030"
talk0031,"talk0031"
talk0032,"talk0032"
talk0033,"talk0033"
talk0034,"talk0034"
talk0035,"talk0035"
talk0036,"talk0036"
talk0037,"talk0037"
talk0038,"talk0038"
near0026,"near0026"
0011,"0011"
talk0039,"talk0039"
talk0026_01,"talk0026_01"
near0027,"near0027"
0012,"0012"
talk0040,"talk0040"
near0028,"near0028"
0013,"0013"
