Label,String
Talk21,"Talk21"
Talk34,"Talk34"
Near03,"Near03"
Talk35,"Talk35"
Talk23,"Talk23"
Talk10,"Talk10"
Talk36,"Talk36"
Talk24,"Talk24"
Talk37,"Talk37"
Talk25,"Talk25"
Talk12,"Talk12"
Talk13,"Talk13"
Talk26,"Talk26"
Talk39,"Talk39"
Talk14,"Talk14"
Talk01,"Talk01"
Talk27,"Talk27"
Talk02,"Talk02"
Talk15,"Talk15"
Talk28,"Talk28"
Talk16,"Talk16"
0000,"0000"
Talk04,"Talk04"
0001,"0001"
Talk60,"Talk60"
Talk61,"Talk61"
Talk19,"Talk19"
0003,"0003"
Talk62,"Talk62"
Talk63,"Talk63"
Talk08,"Talk08"
Talk64,"Talk64"
0006,"0006"
Talk40,"Talk40"
Talk41,"Talk41"
Talk42,"Talk42"
Talk43,"Talk43"
Talk57,"Talk57"
Talk44,"Talk44"
Talk45,"Talk45"
Talk58,"Talk58"
Near01,"Near01"
Talk59,"Talk59"
Talk20,"Talk20"
Talk33,"Talk33"
