Label,String
Kanban_F-8_000,"Kanban_F-8_000"
Kanban_J-2_000,"Kanban_J-2_000"
Kanban_G-3_001,"Kanban_G-3_001"
Kanban_G-8_000,"Kanban_G-8_000"
Kanban_J-2_001,"Kanban_J-2_001"
Kanban_G-8_001,"Kanban_G-8_001"
Kanban_J-2_002,"Kanban_J-2_002"
Kanban_G-3_003,"Kanban_G-3_003"
Kanban_J-2_003,"Kanban_J-2_003"
Kanban_G-3_004,"Kanban_G-3_004"
Kanban_G-3_010,"Kanban_G-3_010"
Kanban_G-8_003,"Kanban_G-8_003"
Kanban_J-2_004,"Kanban_J-2_004"
Kanban_E-6_000,"Kanban_E-6_000"
Kanban_G-3_005,"Kanban_G-3_005"
Kanban_H-8_002,"Kanban_H-8_002"
Kanban_G-3_006,"Kanban_G-3_006"
Kanban_H-8_003,"Kanban_H-8_003"
I-3_006,"I-3_006"
Kanban_F-6_001,"Kanban_F-6_001"
Kanban_G-3_008,"Kanban_G-3_008"
Kanban_C-4_000,"Kanban_C-4_000"
Kanban_G-6_001,"Kanban_G-6_001"
Kanban_H-6_002,"Kanban_H-6_002"
Kanban_H-3_001,"Kanban_H-3_001"
H-8_Uotori_001,"H-8_Uotori_001"
Kanban_B-2_000,"Kanban_B-2_000"
Kanban_H-3_002,"Kanban_H-3_002"
H-8_Uotori_002,"H-8_Uotori_002"
Kanban_I-3_000,"Kanban_I-3_000"
Kanban_B-2_001,"Kanban_B-2_001"
H-8_Uotori_003,"H-8_Uotori_003"
Kanban_I-3_001,"Kanban_I-3_001"
Kanban_B-2_002,"Kanban_B-2_002"
Kanban_I-3_002,"Kanban_I-3_002"
Kanban_G-7_Futago,"Kanban_G-7_Futago"
Kanban_B-2_003,"Kanban_B-2_003"
Kanban_I-3_003,"Kanban_I-3_003"
Kanban_J-3_001,"Kanban_J-3_001"
kanban2_G-6_000,"kanban2_G-6_000"
Kanban_I-3_004,"Kanban_I-3_004"
Kanban_J-3_002,"Kanban_J-3_002"
Kanban_D-7_000,"Kanban_D-7_000"
Kanban_G-1_001,"Kanban_G-1_001"
kanban2_G-6_001,"kanban2_G-6_001"
Kanban_J-3_003,"Kanban_J-3_003"
kanban2_G-6_002,"kanban2_G-6_002"
Kanban_J-3_004,"Kanban_J-3_004"
kanban_F-6_001,"kanban_F-6_001"
Kanban_J-3_005,"Kanban_J-3_005"
Kanban_J-3_006,"Kanban_J-3_006"
YunSignboard_Shop,"YunSignboard_Shop"
B-3_001,"B-3_001"
Kanban_G-4_001,"Kanban_G-4_001"
B-3_002,"B-3_002"
Kanban_Kakariko_01,"Kanban_Kakariko_01"
B-3_003,"B-3_003"
Kanban_H-4_001,"Kanban_H-4_001"
I-7_005,"I-7_005"
Kanban_Kakariko_02,"Kanban_Kakariko_02"
Kanban_H-4_002,"Kanban_H-4_002"
I-7_006,"I-7_006"
I-7_012,"I-7_012"
I-7_007,"I-7_007"
I-7_013,"I-7_013"
Kanban_H-4_004,"Kanban_H-4_004"
I-7_008,"I-7_008"
I-7_014,"I-7_014"
I-7_015,"I-7_015"
stone_Hint_002,"stone_Hint_002"
Kanban_G-2_001,"Kanban_G-2_001"
YunSignboard,"YunSignboard"
Kanban_H-2_001,"Kanban_H-2_001"
Kanban_H-7_000,"Kanban_H-7_000"
Kanban_G-2_004,"Kanban_G-2_004"
Kanban_G-2_010,"Kanban_G-2_010"
Kanban_H-2_002,"Kanban_H-2_002"
Kanban_G-2_011,"Kanban_G-2_011"
Kanban_H-2_003,"Kanban_H-2_003"
Kanban_I-2_001,"Kanban_I-2_001"
Kanban_I-7_000,"Kanban_I-7_000"
Kanban_G-2_006,"Kanban_G-2_006"
Kanban_H-2_004,"Kanban_H-2_004"
Kanban_I-7_001,"Kanban_I-7_001"
Kanban_G-2_013,"Kanban_G-2_013"
LavaCaveNotice,"LavaCaveNotice"
Kanban_I-7_002,"Kanban_I-7_002"
Kanban_WoodStorage,"Kanban_WoodStorage"
Kanban_B-3_001,"Kanban_B-3_001"
Kanban_G-2_008,"Kanban_G-2_008"
Kanban_G-2_014,"Kanban_G-2_014"
Kanban_B-3_002,"Kanban_B-3_002"
Kanban_G-2_009,"Kanban_G-2_009"
Kanban_G-2_015,"Kanban_G-2_015"
Kanban_B-3_003,"Kanban_B-3_003"
Kanban_G-2_016,"Kanban_G-2_016"
Kanban_B-3_004,"Kanban_B-3_004"
Kanban_G-5_003,"Kanban_G-5_003"
LavaCaveNotice_01,"LavaCaveNotice_01"
G-6_001,"G-6_001"
Kanban_B-3_005,"Kanban_B-3_005"
G-6_002,"G-6_002"
G-6_003,"G-6_003"
G-6_004,"G-6_004"
