Label,String
Talk_26,"Talk_26"
Talk_67,"Talk_67"
Near01,"Near01"
Talk_27,"Talk_27"
Talk_50,"Talk_50"
Talk_68,"Talk_68"
0011,"0011"
Talk_28,"Talk_28"
Talk_10,"Talk_10"
Talk_51,"Talk_51"
Talk_69,"Talk_69"
0012,"0012"
Talk_11,"Talk_11"
0013,"0013"
Talk_12,"Talk_12"
0014,"0014"
Talk_13,"Talk_13"
Talk_54,"Talk_54"
Talk_55,"Talk_55"
Talk_57,"Talk_57"
Talk_80,"Talk_80"
Talk_81,"Talk_81"
Talk_58,"Talk_58"
Talk_59,"Talk_59"
Talk_41,"Talk_41"
Talk_42,"Talk_42"
Pos_0100,"Pos_0100"
Talk_43,"Talk_43"
Talk_44,"Talk_44"
Pos_0200,"Pos_0200"
Talk_45,"Talk_45"
Talk_46,"Talk_46"
Pos_0300,"Pos_0300"
Talk_06,"Talk_06"
Talk_47,"Talk_47"
Talk_48,"Talk_48"
Talk_71,"Talk_71"
Pos_0400,"Pos_0400"
Talk_72,"Talk_72"
Talk_49,"Talk_49"
Talk_09,"Talk_09"
Talk_32,"Talk_32"
Talk_73,"Talk_73"
Talk_33,"Talk_33"
Talk_34,"Talk_34"
Talk_75,"Talk_75"
Talk_76,"Talk_76"
Talk_77,"Talk_77"
Talk_60,"Talk_60"
Talk_78,"Talk_78"
Talk_61,"Talk_61"
Talk_79,"Talk_79"
Talk_62,"Talk_62"
Talk_39,"Talk_39"
Talk_22,"Talk_22"
Talk_23,"Talk_23"
Talk_64,"Talk_64"
Talk_65,"Talk_65"
Talk_25,"Talk_25"
Talk_66,"Talk_66"
