Label,String
Pa_Temp_00-T_Error_00,"Pa_Temp_00-T_Error_00"
Pa_Cursor_00-T_StampPin_00,"Pa_Cursor_00-T_StampPin_00"
SpotSmallTimber,"SpotSmallTimber"
Guide_Stamp,"Guide_Stamp"
Guide_Labo,"Guide_Labo"
Action_Yes,"Action_Yes"
SpotBigMagma,"SpotBigMagma"
SpotBigTimber,"SpotBigTimber"
Guide_Put,"Guide_Put"
SpotMiddleTimber,"SpotMiddleTimber"
SpotBigWater,"SpotBigWater"
Name_Player,"Name_Player"
Pa_RecycleBox_00-Pa_Item_02-T_PouchNumRX_01,"Pa_RecycleBox_00-Pa_Item_02-T_PouchNumRX_01"
Name_FrontierPoint,"Name_FrontierPoint"
Action_ChangePin,"Action_ChangePin"
SpotSmallOther,"SpotSmallOther"
SpotBigArtifact,"SpotBigArtifact"
Pa_SensorBox_00-Pa_Btn_00-T_Btn_00,"Pa_SensorBox_00-Pa_Btn_00-T_Btn_00"
Pa_RecycleBox_00-Pa_Item_02-T_PouchNumLX_01,"Pa_RecycleBox_00-Pa_Item_02-T_PouchNumLX_01"
Pa_RecycleBox_00-Pa_Item_04-T_PouchNumRX_01,"Pa_RecycleBox_00-Pa_Item_04-T_PouchNumRX_01"
Pa_RecycleBox_00-Pa_Item_00-T_PouchNumR_00,"Pa_RecycleBox_00-Pa_Item_00-T_PouchNumR_00"
Guide_DragonTears,"Guide_DragonTears"
Pa_RecycleBox_00-Pa_Item_02-T_PouchNumR_00,"Pa_RecycleBox_00-Pa_Item_02-T_PouchNumR_00"
SpotSmallMountain,"SpotSmallMountain"
Name_LargeDungeonFire,"Name_LargeDungeonFire"
Pa_RecycleBox_00-Pa_Item_04-T_PouchNumR_00,"Pa_RecycleBox_00-Pa_Item_04-T_PouchNumR_00"
Floor_6F,"Floor_6F"
Name_Rouge,"Name_Rouge"
PlayStop,"PlayStop"
Pa_RecycleBox_00-Pa_Item_04-T_PouchNumLX_01,"Pa_RecycleBox_00-Pa_Item_04-T_PouchNumLX_01"
ChangeSpeed,"ChangeSpeed"
Name_LargeDungeonWind,"Name_LargeDungeonWind"
Pa_SensorIcon_00-T_Off_00,"Pa_SensorIcon_00-T_Off_00"
Name_LargeDungeonWater,"Name_LargeDungeonWater"
Floor_4F,"Floor_4F"
Underground,"Underground"
Pa_SensorIcon_00-T_SensorOn_00,"Pa_SensorIcon_00-T_SensorOn_00"
Text_Warp,"Text_Warp"
