Label,String
Talk_0070,"Talk_0070"
Talk_0071,"Talk_0071"
Talk_0120,"Talk_0120"
Talk_0097,"Talk_0097"
Talk_0072,"Talk_0072"
Talk_0098,"Talk_0098"
Talk_0121,"Talk_0121"
Talk_0074,"Talk_0074"
Talk_0099,"Talk_0099"
Talk_0122,"Talk_0122"
Talk_0123,"Talk_0123"
Talk_0075,"Talk_0075"
Talk_0076,"Talk_0076"
Talk_0124,"Talk_0124"
Talk_0077,"Talk_0077"
Talk_0100,"Talk_0100"
Talk_0125,"Talk_0125"
Talk_0078,"Talk_0078"
Talk_0053,"Talk_0053"
Talk_0101,"Talk_0101"
Talk_0126,"Talk_0126"
Talk_0054,"Talk_0054"
Talk_0102,"Talk_0102"
Talk_0127,"Talk_0127"
Talk_0055,"Talk_0055"
Talk_0030,"Talk_0030"
Talk_0103,"Talk_0103"
Talk_0128,"Talk_0128"
Talk_0104,"Talk_0104"
Talk_0056,"Talk_0056"
Talk_0129,"Talk_0129"
Talk_0032,"Talk_0032"
Talk_0057,"Talk_0057"
Talk_0105,"Talk_0105"
Talk_0058,"Talk_0058"
Talk_0106,"Talk_0106"
Talk_0107,"Talk_0107"
Talk_0010,"Talk_0010"
Talk_0108,"Talk_0108"
Talk_0035,"Talk_0035"
Talk_0011,"Talk_0011"
Talk_0036,"Talk_0036"
Talk_0109,"Talk_0109"
Talk_0012,"Talk_0012"
Talk_0013,"Talk_0013"
Talk_0038,"Talk_0038"
0010,"0010"
Talk_0014,"Talk_0014"
Talk_0039,"Talk_0039"
0011,"0011"
0012,"0012"
Talk_0016,"Talk_0016"
Near_0001,"Near_0001"
Talk_0017,"Talk_0017"
0013,"0013"
Near_0002,"Near_0002"
0014,"0014"
0015,"0015"
Talk_0019,"Talk_0019"
Near_0003,"Near_0003"
Near_0004,"Near_0004"
0016,"0016"
0017,"0017"
Near_0005,"Near_0005"
0019,"0019"
Talk_0080,"Talk_0080"
Talk_0081,"Talk_0081"
Talk_0130,"Talk_0130"
Talk_0131,"Talk_0131"
Talk_0083,"Talk_0083"
Talk_0132,"Talk_0132"
Talk_0133,"Talk_0133"
Talk_0085,"Talk_0085"
Talk_0061,"Talk_0061"
Talk_0134,"Talk_0134"
Talk_0062,"Talk_0062"
Talk_0110,"Talk_0110"
Talk_0135,"Talk_0135"
Talk_0087,"Talk_0087"
Talk_0088,"Talk_0088"
Talk_0063,"Talk_0063"
Talk_0111,"Talk_0111"
Talk_0136,"Talk_0136"
Talk_0112,"Talk_0112"
Talk_0137,"Talk_0137"
Talk_0040,"Talk_0040"
Talk_0113,"Talk_0113"
Talk_0065,"Talk_0065"
Talk_0041,"Talk_0041"
Talk_0114,"Talk_0114"
Talk_0066,"Talk_0066"
Talk_0042,"Talk_0042"
Talk_0115,"Talk_0115"
Talk_0067,"Talk_0067"
Talk_0043,"Talk_0043"
Talk_0116,"Talk_0116"
Talk_0068,"Talk_0068"
Talk_0069,"Talk_0069"
Talk_0117,"Talk_0117"
Talk_0045,"Talk_0045"
Talk_0020,"Talk_0020"
Talk_0118,"Talk_0118"
Talk_0046,"Talk_0046"
Talk_0021,"Talk_0021"
Talk_0119,"Talk_0119"
Talk_0022,"Talk_0022"
Talk_0047,"Talk_0047"
Talk_0048,"Talk_0048"
Talk_0023,"Talk_0023"
Talk_0024,"Talk_0024"
0020,"0020"
0021,"0021"
Talk_0001,"Talk_0001"
Talk_0026,"Talk_0026"
0022,"0022"
Talk_0002,"Talk_0002"
Talk_0027,"Talk_0027"
0023,"0023"
Talk_0003,"Talk_0003"
Talk_0028,"Talk_0028"
0000,"0000"
Talk_0029,"Talk_0029"
Talk_0005,"Talk_0005"
0026,"0026"
0027,"0027"
Talk_0007,"Talk_0007"
0028,"0028"
Talk_0008,"Talk_0008"
Talk_1011,"Talk_1011"
Talk_0009,"Talk_0009"
Talk_1012,"Talk_1012"
Talk_0090,"Talk_0090"
