Label,String
Dm_ED_0004_Text_005_ab,"Dm_ED_0004_Text_005_ab"
Dm_ED_0004_Text_000_ab,"Dm_ED_0004_Text_000_ab"
Dm_ED_0004_Text_000_b,"Dm_ED_0004_Text_000_b"
Dm_ED_0004_Text_001_b,"Dm_ED_0004_Text_001_b"
Dm_ED_0004_Text_002_b,"Dm_ED_0004_Text_002_b"
Dm_ED_0004_Text_003_b,"Dm_ED_0004_Text_003_b"
Dm_ED_0004_Text_004_b,"Dm_ED_0004_Text_004_b"
Dm_ED_0004_Text_005_b,"Dm_ED_0004_Text_005_b"
Dm_ED_0004_Text_006_b,"Dm_ED_0004_Text_006_b"
Dm_ED_0004_Text_007_b,"Dm_ED_0004_Text_007_b"
Dm_ED_0004_Text_008_b,"Dm_ED_0004_Text_008_b"
Dm_ED_0004_Text_009_b,"Dm_ED_0004_Text_009_b"
Dm_ED_0004_Text_010_b,"Dm_ED_0004_Text_010_b"
Dm_ED_0004_Text_011_b,"Dm_ED_0004_Text_011_b"
Dm_ED_0004_Text_012_b,"Dm_ED_0004_Text_012_b"
Dm_ED_0004_Text_013_b,"Dm_ED_0004_Text_013_b"
Dm_ED_0004_Text_014_b,"Dm_ED_0004_Text_014_b"
Dm_ED_0004_Text_015_b,"Dm_ED_0004_Text_015_b"
Dm_ED_0004_Text_019_b,"Dm_ED_0004_Text_019_b"
Dm_ED_0004_Text_020_b,"Dm_ED_0004_Text_020_b"
Dm_ED_0004_Text_021_b,"Dm_ED_0004_Text_021_b"
Dm_ED_0004_Text_000_c,"Dm_ED_0004_Text_000_c"
Dm_ED_0004_Text_001_c,"Dm_ED_0004_Text_001_c"
Dm_ED_0004_Text_002_c,"Dm_ED_0004_Text_002_c"
