Label,String
Dm_OP_0026_Text_004_b,"Dm_OP_0026_Text_004_b"
Dm_OP_0026_Text_007_b_00,"Dm_OP_0026_Text_007_b_00"
Dm_OP_0026_Text_001_b_00,"Dm_OP_0026_Text_001_b_00"
Dm_OP_0026_Text_005_b,"Dm_OP_0026_Text_005_b"
Dm_OP_0026_Text_006_b,"Dm_OP_0026_Text_006_b"
Dm_OP_0026_Text_007_b,"Dm_OP_0026_Text_007_b"
Dm_OP_0026_Text_001_b,"Dm_OP_0026_Text_001_b"
Dm_OP_0026_Text_010_b,"Dm_OP_0026_Text_010_b"
Dm_OP_0026_Text_008_b,"Dm_OP_0026_Text_008_b"
Dm_OP_0026_Text_009_b,"Dm_OP_0026_Text_009_b"
Dm_OP_0026_Text_003_b,"Dm_OP_0026_Text_003_b"
