Label,String
Near_3001,"Near_3001"
Talk_3011,"Talk_3011"
Near_3002,"Near_3002"
Talk_3012,"Talk_3012"
Near_3003,"Near_3003"
Talk_3013,"Talk_3013"
Talk_3014,"Talk_3014"
Talk_4000,"Talk_4000"
Talk_3015,"Talk_3015"
Talk_3016,"Talk_3016"
Talk_1000,"Talk_1000"
Talk_3017,"Talk_3017"
Talk_4003,"Talk_4003"
Talk_1001,"Talk_1001"
Talk_3018,"Talk_3018"
Talk_4004,"Talk_4004"
Talk_1002,"Talk_1002"
Talk_3019,"Talk_3019"
Talk_1003,"Talk_1003"
Talk_3020,"Talk_3020"
Talk_4006,"Talk_4006"
Talk_1004,"Talk_1004"
Talk_4007,"Talk_4007"
Talk_1005,"Talk_1005"
Talk_4008,"Talk_4008"
Talk_1006,"Talk_1006"
Talk_4009,"Talk_4009"
Talk_1007,"Talk_1007"
Near_4000,"Near_4000"
Talk_4010,"Talk_4010"
Near_2000,"Near_2000"
Talk_4011,"Talk_4011"
Near_2001,"Near_2001"
Near_1000,"Near_1000"
0001,"0001"
0002,"0002"
Talk_3000,"Talk_3000"
0003,"0003"
Talk_3001,"Talk_3001"
0004,"0004"
Talk_2000,"Talk_2000"
0005,"0005"
Talk_3003,"Talk_3003"
0007,"0007"
Talk_2003,"Talk_2003"
Talk_3005,"Talk_3005"
Talk_2004,"Talk_2004"
Talk_2005,"Talk_2005"
Talk_2006,"Talk_2006"
Talk_3008,"Talk_3008"
Talk_2007,"Talk_2007"
Talk_2008,"Talk_2008"
Near_3000,"Near_3000"
Talk_3010,"Talk_3010"
