Label,String
Thanks02,"Thanks02"
Talk01_00,"Talk01_00"
Thanks03,"Thanks03"
Talk01_01,"Talk01_01"
Talk02_00,"Talk02_00"
Talk02_01,"Talk02_01"
SavedLv1_00,"SavedLv1_00"
TerrorEnemy_00,"TerrorEnemy_00"
SavedLv1_01,"SavedLv1_01"
SavedLv2_00,"SavedLv2_00"
ClearTerrorEnemy,"ClearTerrorEnemy"
TerrorEnemy_01,"TerrorEnemy_01"
SavedLv2_01,"SavedLv2_01"
SavedLv3_00,"SavedLv3_00"
TerrorEnemy_02,"TerrorEnemy_02"
SavedLv3_01,"SavedLv3_01"
Talk06_00,"Talk06_00"
Talk99_01,"Talk99_01"
AfterFailed,"AfterFailed"
Talk06_01,"Talk06_01"
Atacked00,"Atacked00"
Guardian00,"Guardian00"
Failed00,"Failed00"
Atacked01,"Atacked01"
GoodBye00,"GoodBye00"
Talk03_00,"Talk03_00"
Talk100,"Talk100"
Failed01,"Failed01"
Talk03_01,"Talk03_01"
Talk04_00,"Talk04_00"
Thanks00,"Thanks00"
Talk05_00,"Talk05_00"
Thanks01,"Thanks01"
GoodBye00_01,"GoodBye00_01"
Talk05_01,"Talk05_01"
Talk99,"Talk99"
