Label,String
Talk_1_24,"Talk_1_24"
Talk_1_25,"Talk_1_25"
Talk_1_26,"Talk_1_26"
Talk_1_27,"Talk_1_27"
Talk_1_1,"Talk_1_1"
Talk_1_10,"Talk_1_10"
Talk_1_28,"Talk_1_28"
Talk_1_11,"Talk_1_11"
Talk_1_12,"Talk_1_12"
Talk_1_5,"Talk_1_5"
Talk_1_31,"Talk_1_31"
Talk_1_6,"Talk_1_6"
Talk_1_32,"Talk_1_32"
Talk_1_15,"Talk_1_15"
Talk_1_7,"Talk_1_7"
Talk_1_33,"Talk_1_33"
Talk_1_16,"Talk_1_16"
Talk_1_8,"Talk_1_8"
Talk_1_17,"Talk_1_17"
Talk_1_34,"Talk_1_34"
Talk_1_18,"Talk_1_18"
Near_00,"Near_00"
Talk_1_36,"Talk_1_36"
Talk_1_19,"Talk_1_19"
Talk_5_1,"Talk_5_1"
Near_01,"Near_01"
Talk_1_37,"Talk_1_37"
Talk_1_20,"Talk_1_20"
Near_02,"Near_02"
Talk_1_38,"Talk_1_38"
Talk_1_21,"Talk_1_21"
Talk_1_39,"Talk_1_39"
Talk_1_22,"Talk_1_22"
Talk_1_23,"Talk_1_23"
Talk_1_40,"Talk_1_40"
