Label,String
Talk_01,"Talk_01"
Talk_02,"Talk_02"
Talk_28,"Talk_28"
Talk_03,"Talk_03"
Talk_04,"Talk_04"
Talk_05,"Talk_05"
Talk_19,"Talk_19"
Talk_06,"Talk_06"
Talk_07,"Talk_07"
Near_00,"Near_00"
Talk_08,"Talk_08"
Near_01,"Near_01"
Near_02,"Near_02"
0001,"0001"
Near_03,"Near_03"
Talk_40,"Talk_40"
0002,"0002"
Talk_41,"Talk_41"
Talk_42,"Talk_42"
0003,"0003"
Talk_43,"Talk_43"
Talk_44,"Talk_44"
Talk_32,"Talk_32"
Talk_45,"Talk_45"
Talk_33,"Talk_33"
Talk_20,"Talk_20"
Talk_34,"Talk_34"
Talk_21,"Talk_21"
Talk_35,"Talk_35"
Talk_36,"Talk_36"
Talk_10,"Talk_10"
Talk_37,"Talk_37"
Talk_11,"Talk_11"
Talk_38,"Talk_38"
Talk_12,"Talk_12"
Talk_00,"Talk_00"
Talk_26,"Talk_26"
Talk_39,"Talk_39"
Talk_13,"Talk_13"
