Label,String
Talk_01,"Talk_01"
Talk_14,"Talk_14"
Com_Talk_55,"Com_Talk_55"
Talk_02,"Talk_02"
Talk_15,"Talk_15"
Talk_16,"Talk_16"
Talk_04,"Talk_04"
NakedPlayer,"NakedPlayer"
Talk_05,"Talk_05"
Com_Talk_33,"Com_Talk_33"
Talk_06,"Talk_06"
Com_Talk_02b,"Com_Talk_02b"
Com_Talk_35,"Com_Talk_35"
Near_00,"Near_00"
Talk_08,"Talk_08"
Com_Talk_02c,"Com_Talk_02c"
Talk_09,"Talk_09"
Com_Talk_02d,"Com_Talk_02d"
Near_02,"Near_02"
0000,"0000"
0001,"0001"
Com_Talk_00,"Com_Talk_00"
Com_Talk_13,"Com_Talk_13"
5500,"5500"
0002,"0002"
Com_Talk_01,"Com_Talk_01"
Com_Talk_14,"Com_Talk_14"
5501,"5501"
Com_Talk_02,"Com_Talk_02"
Com_Talk_15,"Com_Talk_15"
Com_Talk_16,"Com_Talk_16"
5503,"5503"
Com_Talk_04,"Com_Talk_04"
Com_Talk_05,"Com_Talk_05"
Com_Talk_50,"Com_Talk_50"
5508,"5508"
Talk_10,"Talk_10"
Talk_11,"Talk_11"
Com_Talk_05b,"Com_Talk_05b"
Talk_12,"Talk_12"
Com_Talk_05c,"Com_Talk_05c"
Com_Talk_53,"Com_Talk_53"
Talk_00,"Talk_00"
Talk_13,"Talk_13"
Com_Talk_05d,"Com_Talk_05d"
