Label,String
Talk_0034,"Talk_0034"
Com_Talk_02c,"Com_Talk_02c"
5507,"5507"
Talk_0035,"Talk_0035"
Com_Talk_02d,"Com_Talk_02d"
5508,"5508"
Talk_0036,"Talk_0036"
Talk_0037,"Talk_0037"
Com_Talk_50,"Com_Talk_50"
Talk_0039,"Talk_0039"
Talk_0021,"Talk_0021"
Com_Talk_52,"Com_Talk_52"
Talk_0022,"Talk_0022"
Com_Talk_05b,"Com_Talk_05b"
Com_Talk_53,"Com_Talk_53"
Talk_0023,"Talk_0023"
Com_Talk_05c,"Com_Talk_05c"
Com_Talk_13,"Com_Talk_13"
Com_Talk_54,"Com_Talk_54"
Talk_0024,"Talk_0024"
Com_Talk_05d,"Com_Talk_05d"
Com_Talk_14,"Com_Talk_14"
Com_Talk_55,"Com_Talk_55"
Talk_0025,"Talk_0025"
0000,"0000"
Com_Talk_15,"Com_Talk_15"
Com_Talk_56,"Com_Talk_56"
Talk_0026,"Talk_0026"
0001,"0001"
Com_Talk_16,"Com_Talk_16"
Talk_0027,"Talk_0027"
NakedPlayer,"NakedPlayer"
Talk_0010,"Talk_0010"
Com_Talk_00,"Com_Talk_00"
Com_Talk_01,"Com_Talk_01"
Com_Talk_02,"Com_Talk_02"
Com_Talk_04,"Com_Talk_04"
Com_Talk_05,"Com_Talk_05"
Talk_0040,"Talk_0040"
Com_Talk_31,"Com_Talk_31"
Talk_0001,"Talk_0001"
Talk_0002,"Talk_0002"
Com_Talk_33,"Com_Talk_33"
Talk_0003,"Talk_0003"
Com_Talk_34,"Com_Talk_34"
Near_0001,"Near_0001"
Com_Talk_35,"Com_Talk_35"
5500,"5500"
Near_0002,"Near_0002"
Talk_0005,"Talk_0005"
5501,"5501"
Talk_0006,"Talk_0006"
5502,"5502"
Talk_0007,"Talk_0007"
5503,"5503"
Talk_0008,"Talk_0008"
Talk_0009,"Talk_0009"
Talk_0033,"Talk_0033"
Com_Talk_02b,"Com_Talk_02b"
