Label,String
Talk0012,"Talk0012"
Talk0013,"Talk0013"
Talk_Greeting0001,"Talk_Greeting0001"
Talk0001,"Talk0001"
Talk0014,"Talk0014"
Talk_Greeting0002,"Talk_Greeting0002"
Talk0002,"Talk0002"
Talk0015,"Talk0015"
Talk_Greeting0003,"Talk_Greeting0003"
Talk0003,"Talk0003"
Talk0016,"Talk0016"
WakkaCharm,"WakkaCharm"
Talk_Greeting0004,"Talk_Greeting0004"
Talk0004,"Talk0004"
Talk0017,"Talk0017"
Near0001,"Near0001"
Talk_Greeting0005,"Talk_Greeting0005"
Talk0005,"Talk0005"
Talk0018,"Talk0018"
Near0002,"Near0002"
Talk0019,"Talk0019"
Talk0007,"Talk0007"
Talk0008,"Talk0008"
0000,"0000"
Near0005,"Near0005"
Talk0009,"Talk0009"
0001,"0001"
Near0006,"Near0006"
Near0007,"Near0007"
Near0008,"Near0008"
Near0009,"Near0009"
Talk0010,"Talk0010"
Talk0011,"Talk0011"
