Label,String
Talk1009,"Talk1009"
Talk1010,"Talk1010"
Talk1011,"Talk1011"
TerrorArrow,"TerrorArrow"
Talk1012,"Talk1012"
TerrorFire,"TerrorFire"
Talk1013,"Talk1013"
Talk1001,"Talk1001"
0000,"0000"
Talk1014,"Talk1014"
TerrorInsect,"TerrorInsect"
Talk1002,"Talk1002"
0001,"0001"
Talk1015,"Talk1015"
TerrorImpulse,"TerrorImpulse"
Talk1003,"Talk1003"
Talk1004,"Talk1004"
TerrorBomb,"TerrorBomb"
TerrorExplosion,"TerrorExplosion"
Near1001,"Near1001"
TerrorGeneric,"TerrorGeneric"
Talk1006,"Talk1006"
Near1002,"Near1002"
TerrorIce,"TerrorIce"
Enokida,"Enokida"
Near1003,"Near1003"
TerrorSword,"TerrorSword"
NakedPlayer,"NakedPlayer"
Talk1008,"Talk1008"
TerrorFlash,"TerrorFlash"
ClearTerrorEnemy,"ClearTerrorEnemy"
