Label,String
Talk0068,"Talk0068"
Talk0070,"Talk0070"
Talk0071,"Talk0071"
Talk0069,"Talk0069"
Talk0072,"Talk0072"
Talk0073,"Talk0073"
Talk0074,"Talk0074"
Talk0075,"Talk0075"
Talk0076,"Talk0076"
Talk0077,"Talk0077"
Talk0100,"Talk0100"
Talk0078,"Talk0078"
Talk0080,"Talk0080"
Talk0101,"Talk0101"
Talk0079,"Talk0079"
Talk0081,"Talk0081"
Talk0102,"Talk0102"
Talk0082,"Talk0082"
Talk0103,"Talk0103"
Talk0083,"Talk0083"
Talk0104,"Talk0104"
Talk0084,"Talk0084"
Talk0105,"Talk0105"
Talk0085,"Talk0085"
Talk0106,"Talk0106"
Talk0086,"Talk0086"
Talk0107,"Talk0107"
Talk0087,"Talk0087"
Talk0110,"Talk0110"
Talk0090,"Talk0090"
Talk0108,"Talk0108"
Talk0088,"Talk0088"
Talk0111,"Talk0111"
Talk0091,"Talk0091"
Talk0109,"Talk0109"
Talk0089,"Talk0089"
Talk0112,"Talk0112"
Talk0092,"Talk0092"
Talk0113,"Talk0113"
Talk0093,"Talk0093"
Talk0114,"Talk0114"
Talk0094,"Talk0094"
Talk0115,"Talk0115"
Talk0095,"Talk0095"
Talk0096,"Talk0096"
Talk0116,"Talk0116"
Talk0097,"Talk0097"
Talk0117,"Talk0117"
Talk0120,"Talk0120"
Talk0098,"Talk0098"
Talk0118,"Talk0118"
Talk0119,"Talk0119"
Talk0121,"Talk0121"
Talk0099,"Talk0099"
Talk0122,"Talk0122"
Talk0123,"Talk0123"
Talk0001,"Talk0001"
Talk0124,"Talk0124"
Talk0002,"Talk0002"
Talk0125,"Talk0125"
Talk0003,"Talk0003"
Talk0126,"Talk0126"
Talk0004,"Talk0004"
Talk0127,"Talk0127"
Talk0128,"Talk0128"
Talk0005,"Talk0005"
Talk0130,"Talk0130"
Talk0006,"Talk0006"
Talk0129,"Talk0129"
Talk0131,"Talk0131"
Talk0132,"Talk0132"
Talk0007,"Talk0007"
Talk0008,"Talk0008"
Talk0011,"Talk0011"
Talk0009,"Talk0009"
Talk0012,"Talk0012"
Talk0013,"Talk0013"
Talk0014,"Talk0014"
Talk0015,"Talk0015"
Talk0016,"Talk0016"
Talk0017,"Talk0017"
Talk0018,"Talk0018"
Talk0020,"Talk0020"
Talk0019,"Talk0019"
Talk0021,"Talk0021"
0000,"0000"
0001,"0001"
Talk0023,"Talk0023"
Talk_OnTheDesk,"Talk_OnTheDesk"
0002,"0002"
Talk0024,"Talk0024"
0003,"0003"
Talk0025,"Talk0025"
0004,"0004"
Talk0026,"Talk0026"
0005,"0005"
Talk0027,"Talk0027"
0006,"0006"
Talk0028,"Talk0028"
Talk0030,"Talk0030"
0007,"0007"
Talk0029,"Talk0029"
Talk0031,"Talk0031"
0008,"0008"
0010,"0010"
Talk0032,"Talk0032"
0009,"0009"
0011,"0011"
Talk0033,"Talk0033"
Talk0034,"Talk0034"
0012,"0012"
Talk0035,"Talk0035"
0013,"0013"
Near0001,"Near0001"
Talk0036,"Talk0036"
0014,"0014"
Near0002,"Near0002"
Talk0037,"Talk0037"
0015,"0015"
Near0003,"Near0003"
Talk0005_00,"Talk0005_00"
Talk0038,"Talk0038"
0016,"0016"
Talk0040,"Talk0040"
Near0004,"Near0004"
Talk0005_01,"Talk0005_01"
Talk0039,"Talk0039"
0017,"0017"
Talk0041,"Talk0041"
Talk0005_02,"Talk0005_02"
0020,"0020"
Near0005,"Near0005"
0018,"0018"
Talk0042,"Talk0042"
Talk0005_03,"Talk0005_03"
0019,"0019"
0021,"0021"
Near0006,"Near0006"
Talk0043,"Talk0043"
Talk0005_04,"Talk0005_04"
Near0007,"Near0007"
Talk0044,"Talk0044"
Talk0045,"Talk0045"
Talk0047,"Talk0047"
Talk0048,"Talk0048"
Talk0050,"Talk0050"
Talk0049,"Talk0049"
Talk0051,"Talk0051"
Talk0052,"Talk0052"
Talk0053,"Talk0053"
Talk0054,"Talk0054"
Talk0055,"Talk0055"
Talk0056,"Talk0056"
Talk0060,"Talk0060"
Talk0059,"Talk0059"
Talk0061,"Talk0061"
Talk0062,"Talk0062"
Talk0063,"Talk0063"
Talk0064,"Talk0064"
Talk0065,"Talk0065"
Talk0066,"Talk0066"
Talk0067,"Talk0067"
