Label,String
GoalPoint_01,"GoalPoint_01"
GoRange_01,"GoRange_01"
FriendGreet_03,"FriendGreet_03"
BackRange_01_2,"BackRange_01_2"
Near_StartPoint_01,"Near_StartPoint_01"
StartPoint_01,"StartPoint_01"
GerudoHello_01,"GerudoHello_01"
StartPoint_01_2,"StartPoint_01_2"
StartPoint_01_3,"StartPoint_01_3"
StartPoint_01_4,"StartPoint_01_4"
BackRange_01,"BackRange_01"
Near_GoRange_01,"Near_GoRange_01"
Near_BackRange_01,"Near_BackRange_01"
GerudoMorning_01,"GerudoMorning_01"
GerudoEvening_01,"GerudoEvening_01"
0098,"0098"
FriendGreet_00_03,"FriendGreet_00_03"
RainPoint_01_2,"RainPoint_01_2"
GoRange_01_2,"GoRange_01_2"
0099,"0099"
FriendGreet_00_04,"FriendGreet_00_04"
Near_Thunder,"Near_Thunder"
GoalPoint_01_2,"GoalPoint_01_2"
RainPoint_01,"RainPoint_01"
Near_RainPoint_01,"Near_RainPoint_01"
FriendGreet_00,"FriendGreet_00"
Near_Rain,"Near_Rain"
FriendGreet_01,"FriendGreet_01"
Near_GoalPoint_01,"Near_GoalPoint_01"
FriendGreet_02,"FriendGreet_02"
