Label,String
talk1010,"talk1010"
talk1011,"talk1011"
Talk_22,"Talk_22"
talk1012,"talk1012"
talk1013,"talk1013"
talk1014,"talk1014"
GreetingBefore03,"GreetingBefore03"
talk1016,"talk1016"
talk1017,"talk1017"
talk1018,"talk1018"
talk1019,"talk1019"
Com_Talk_13,"Com_Talk_13"
Com_Talk_14,"Com_Talk_14"
Com_Talk_15,"Com_Talk_15"
Com_Talk_16,"Com_Talk_16"
Talk_10,"Talk_10"
Talk_12,"Talk_12"
talk1002,"talk1002"
Talk_13,"Talk_13"
Com_Talk_31,"Com_Talk_31"
talk1003,"talk1003"
Talk_14,"Talk_14"
Com_Talk_33,"Com_Talk_33"
Com_Talk_34,"Com_Talk_34"
Com_Talk_05b,"Com_Talk_05b"
0005,"0005"
Com_Talk_00,"Com_Talk_00"
Com_Talk_35,"Com_Talk_35"
Com_Talk_05c,"Com_Talk_05c"
0006,"0006"
Com_Talk_01,"Com_Talk_01"
Com_Talk_05d,"Com_Talk_05d"
Com_Talk_02,"Com_Talk_02"
talk1020,"talk1020"
talk1009,"talk1009"
talk1021,"talk1021"
Com_Talk_04,"Com_Talk_04"
Com_Talk_50,"Com_Talk_50"
Com_Talk_02b,"Com_Talk_02b"
talk1022,"talk1022"
Com_Talk_05,"Com_Talk_05"
Com_Talk_02c,"Com_Talk_02c"
talk1023,"talk1023"
Com_Talk_52,"Com_Talk_52"
Com_Talk_02d,"Com_Talk_02d"
5500,"5500"
talk1024,"talk1024"
Com_Talk_53,"Com_Talk_53"
5501,"5501"
talk1025,"talk1025"
Com_Talk_54,"Com_Talk_54"
5502,"5502"
near1000,"near1000"
Com_Talk_55,"Com_Talk_55"
5503,"5503"
near1001,"near1001"
Com_Talk_56,"Com_Talk_56"
near1002,"near1002"
5507,"5507"
5508,"5508"
Talk_07,"Talk_07"
AssassinClothes,"AssassinClothes"
Talk_08,"Talk_08"
Talk_09,"Talk_09"
