Label,String
Comment_21,"Comment_21"
Talk_2008,"Talk_2008"
Near_1002,"Near_1002"
Comment_22,"Comment_22"
Balloon_05,"Balloon_05"
Talk_2009,"Talk_2009"
Comment_10,"Comment_10"
Comment_23,"Comment_23"
Comment_24,"Comment_24"
Comment_11,"Comment_11"
Talk_2040,"Talk_2040"
Comment_25,"Comment_25"
Comment_12,"Comment_12"
Talk_2041,"Talk_2041"
Comment_13,"Comment_13"
Talk_2042,"Talk_2042"
Comment_14,"Comment_14"
Talk_2030,"Talk_2030"
Comment_15,"Comment_15"
Talk_2031,"Talk_2031"
Talk_2032,"Talk_2032"
Talk_2033,"Talk_2033"
Talk_2020,"Talk_2020"
0001,"0001"
Talk_2034,"Talk_2034"
Talk_2035,"Talk_2035"
0002,"0002"
Talk_2010,"Talk_2010"
0003,"0003"
Talk_2036,"Talk_2036"
Talk_2011,"Talk_2011"
Talk_2037,"Talk_2037"
Talk_2038,"Talk_2038"
Talk_2000,"Talk_2000"
Talk_2039,"Talk_2039"
Talk_2001,"Talk_2001"
Talk_2002,"Talk_2002"
Talk_2003,"Talk_2003"
Talk_2004,"Talk_2004"
Near_1000,"Near_1000"
Talk_2006,"Talk_2006"
Comment_20,"Comment_20"
Talk_2007,"Talk_2007"
Near_1001,"Near_1001"
