Label,String
near0011,"near0011"
near0012,"near0012"
talk0050,"talk0050"
talk0019_00,"talk0019_00"
talk0051,"talk0051"
near0013,"near0013"
talk0019_01,"talk0019_01"
talk0052,"talk0052"
near0014,"near0014"
talk0053,"talk0053"
talk0019,"talk0019"
talk0054,"talk0054"
talk0055,"talk0055"
near0005,"near0005"
talk0043,"talk0043"
talk0056,"talk0056"
talk0044,"talk0044"
talk0057,"talk0057"
talk0045,"talk0045"
talk0058,"talk0058"
talk0054_01,"talk0054_01"
near0013_01,"near0013_01"
talk0054_02,"talk0054_02"
talk0048,"talk0048"
talk0054_03,"talk0054_03"
talk0049,"talk0049"
talk0054_04,"talk0054_04"
talk0054_05,"talk0054_05"
near0010,"near0010"
