Label,String
Talk_63,"Talk_63"
Talk_65,"Talk_65"
Talk_66,"Talk_66"
Talk_67,"Talk_67"
Talk_68,"Talk_68"
Talk_69,"Talk_69"
Talk_110,"Talk_110"
Talk_50,"Talk_50"
Talk_112,"Talk_112"
Talk_51,"Talk_51"
Talk_113,"Talk_113"
Talk_52,"Talk_52"
Talk_53,"Talk_53"
0200,"0200"
Talk_54,"Talk_54"
Talk_55,"Talk_55"
Talk_56,"Talk_56"
Talk_57,"Talk_57"
Talk_58,"Talk_58"
Talk_100,"Talk_100"
Talk_59,"Talk_59"
Talk_101,"Talk_101"
Talk_40,"Talk_40"
KyoukaiTalk04_01,"KyoukaiTalk04_01"
Talk_41,"Talk_41"
KyoukaiTalk04_02,"KyoukaiTalk04_02"
Talk_42,"Talk_42"
Talk_43,"Talk_43"
Talk_105,"Talk_105"
Talk_44,"Talk_44"
near_01,"near_01"
Talk_45,"Talk_45"
near_02,"near_02"
Talk_107,"Talk_107"
Register00_4,"Register00_4"
Talk_46,"Talk_46"
near_03,"near_03"
Talk_108,"Talk_108"
Talk_47,"Talk_47"
Register02,"Register02"
0255,"0255"
Talk_48,"Talk_48"
Import01,"Import01"
0020,"0020"
Talk_49,"Talk_49"
Talk_91,"Talk_91"
0021,"0021"
Talk_92,"Talk_92"
Talk_31,"Talk_31"
0022,"0022"
0100,"0100"
Talk_93,"Talk_93"
Talk_32,"Talk_32"
0023,"0023"
Talk_94,"Talk_94"
Talk_33,"Talk_33"
Talk_95,"Talk_95"
Talk_34,"Talk_34"
Talk_96,"Talk_96"
Talk_35,"Talk_35"
Register16_01,"Register16_01"
Talk_97,"Talk_97"
Talk_36,"Talk_36"
0028,"0028"
Talk_98,"Talk_98"
Talk_37,"Talk_37"
Talk_99,"Talk_99"
Talk_38,"Talk_38"
Talk_39,"Talk_39"
Talk_81,"Talk_81"
Talk_22,"Talk_22"
Talk_84,"Talk_84"
Talk_85,"Talk_85"
0015,"0015"
Talk_25,"Talk_25"
0016,"0016"
Talk_26,"Talk_26"
0017,"0017"
Talk_87,"Talk_87"
0018,"0018"
0019,"0019"
Talk_29,"Talk_29"
Talk_70,"Talk_70"
Talk_10,"Talk_10"
Talk_71,"Talk_71"
Talk_11,"Talk_11"
Talk_72,"Talk_72"
Talk_12,"Talk_12"
0004,"0004"
Talk_74,"Talk_74"
Talk_13,"Talk_13"
0005,"0005"
Talk_14,"Talk_14"
0006,"0006"
Talk_76,"Talk_76"
Talk_15,"Talk_15"
0007,"0007"
Talk_77,"Talk_77"
Talk_17,"Talk_17"
0008,"0008"
Talk_18,"Talk_18"
0009,"0009"
Talk_60,"Talk_60"
Talk_19,"Talk_19"
Talk_61,"Talk_61"
Talk_200,"Talk_200"
Talk_62,"Talk_62"
