Label,String
talk0001,"talk0001"
talk0002,"talk0002"
talk0015,"talk0015"
talk0003,"talk0003"
talk0016,"talk0016"
near0001,"near0001"
talk0018,"talk0018"
talk0005,"talk0005"
talk0019,"talk0019"
talk0006,"talk0006"
talk0007,"talk0007"
talk0008,"talk0008"
talk0009,"talk0009"
0000,"0000"
talk0020,"talk0020"
0001,"0001"
talk0021,"talk0021"
0002,"0002"
0003,"0003"
talk0022,"talk0022"
talk0010,"talk0010"
0004,"0004"
0005,"0005"
talk0011,"talk0011"
talk0012,"talk0012"
0006,"0006"
talk0000,"talk0000"
talk0013,"talk0013"
