Label,String
Talk_14,"Talk_14"
Talk_43,"Talk_43"
Talk_00_2,"Talk_00_2"
Talk_15,"Talk_15"
Talk_44,"Talk_44"
Talk_16,"Talk_16"
Talk_45,"Talk_45"
Talk_17,"Talk_17"
Talk_18,"Talk_18"
Talk_19,"Talk_19"
Talk_20,"Talk_20"
Talk_21,"Talk_21"
Talk_22,"Talk_22"
Talk_23,"Talk_23"
Talk_24,"Talk_24"
Talk_25,"Talk_25"
Talk_26,"Talk_26"
Talk_27,"Talk_27"
Near_00,"Near_00"
Talk_28,"Talk_28"
Talk_00,"Talk_00"
0000,"0000"
Talk_29,"Talk_29"
Talk_19_2,"Talk_19_2"
Talk_30,"Talk_30"
0001,"0001"
Talk_01,"Talk_01"
Talk_31,"Talk_31"
Talk_02,"Talk_02"
0002,"0002"
Talk_03,"Talk_03"
0003,"0003"
Talk_32,"Talk_32"
Talk_04,"Talk_04"
Talk_33,"Talk_33"
Talk_05,"Talk_05"
Talk_06,"Talk_06"
Talk_35,"Talk_35"
Talk_07,"Talk_07"
Talk_36,"Talk_36"
Talk_08,"Talk_08"
Talk_37,"Talk_37"
Talk_09,"Talk_09"
Talk_38,"Talk_38"
Talk_10,"Talk_10"
Talk_39,"Talk_39"
Talk_40,"Talk_40"
Talk_11,"Talk_11"
Talk_41,"Talk_41"
Talk_12,"Talk_12"
Talk_13,"Talk_13"
Talk_42,"Talk_42"
