Label,String
AskCourse_Expert,"AskCourse_Expert"
IfSelectBeginnerCourse_Expert,"IfSelectBeginnerCourse_Expert"
Goal_WonderfulTime_Expert_Reward_01,"Goal_WonderfulTime_Expert_Reward_01"
Goal_WonderfulTime_Expert_Reward_02,"Goal_WonderfulTime_Expert_Reward_02"
Failed_01_00,"Failed_01_00"
GoalBeginnerCourse_GoodTime_Expert,"GoalBeginnerCourse_GoodTime_Expert"
Goal_WonderfulTime_Expert_Reward_03,"Goal_WonderfulTime_Expert_Reward_03"
Goal_WonderfulTime_Expert_Reward_04,"Goal_WonderfulTime_Expert_Reward_04"
Goal_WonderfulTime_Expert_Reward_05,"Goal_WonderfulTime_Expert_Reward_05"
Goal_WonderfulTime_Expert_Reward_06,"Goal_WonderfulTime_Expert_Reward_06"
IfSelectExpertCourse_Expert1,"IfSelectExpertCourse_Expert1"
Goal_WonderfulTime_Expert_Reward_07,"Goal_WonderfulTime_Expert_Reward_07"
Lanayru002_TalkInRace_2nd,"Lanayru002_TalkInRace_2nd"
Goal_WonderfulTime_Expert_Reward_08,"Goal_WonderfulTime_Expert_Reward_08"
Goal_WonderfulTime_Expert_Reward_09,"Goal_WonderfulTime_Expert_Reward_09"
EntranceTalk_Beginner_Retry,"EntranceTalk_Beginner_Retry"
ChangeBeginnerToExpert_Expert1,"ChangeBeginnerToExpert_Expert1"
Goal_BadTime_Beginner,"Goal_BadTime_Beginner"
ChangeBeginnerToExpert_Expert2,"ChangeBeginnerToExpert_Expert2"
Goal_GoodTime_Expert1,"Goal_GoodTime_Expert1"
TalkForPay_Beginner,"TalkForPay_Beginner"
Exit_01,"Exit_01"
EntranceTalk_No_Shield,"EntranceTalk_No_Shield"
Exit_02,"Exit_02"
Goal_BadTime_Expert_dame,"Goal_BadTime_Expert_dame"
Exit_03,"Exit_03"
EntranceTalk_Beginner_AfterChallenge,"EntranceTalk_Beginner_AfterChallenge"
Lanayru001_Failed_Talk_01,"Lanayru001_Failed_Talk_01"
Lanayru001_Failed_Talk_02,"Lanayru001_Failed_Talk_02"
AskRupee_Expert,"AskRupee_Expert"
Lanayru002_TalkInRace,"Lanayru002_TalkInRace"
Talk0001,"Talk0001"
AskRetry_Expert,"AskRetry_Expert"
Talk0002,"Talk0002"
EntranceTalk_Beginner_1st,"EntranceTalk_Beginner_1st"
AboutCourse_Beginner_01,"AboutCourse_Beginner_01"
ChangeBeginnerToExpert_Expert,"ChangeBeginnerToExpert_Expert"
Talk0003,"Talk0003"
Stop_00,"Stop_00"
AboutCourse_Beginner_02,"AboutCourse_Beginner_02"
Lanayru001_Goal_HardTalk_01,"Lanayru001_Goal_HardTalk_01"
Talk0004,"Talk0004"
Stop_01,"Stop_01"
Lanayru001_Goal_HardTalk_02,"Lanayru001_Goal_HardTalk_02"
Talk0005,"Talk0005"
Stop_02,"Stop_02"
BestScore_A,"BestScore_A"
Lanayru001_Goal_HardTalk_03,"Lanayru001_Goal_HardTalk_03"
Talk0006,"Talk0006"
Stop_03,"Stop_03"
BestScore_B,"BestScore_B"
AskRupee_Beginner,"AskRupee_Beginner"
Lanayru001_Goal_HardTalk_04,"Lanayru001_Goal_HardTalk_04"
Talk0007,"Talk0007"
EntranceTalk_Expert_Default,"EntranceTalk_Expert_Default"
Lanayru001_Goal_HardTalk_05,"Lanayru001_Goal_HardTalk_05"
AskRetry_Beginner,"AskRetry_Beginner"
EntranceTalk_Expert_Greet00,"EntranceTalk_Expert_Greet00"
AskPurpose_Expert,"AskPurpose_Expert"
Lanayru001_Goal_HardTalk_06,"Lanayru001_Goal_HardTalk_06"
Goal_00,"Goal_00"
EntranceTalk_Expert_Greet01,"EntranceTalk_Expert_Greet01"
Lanayru001_Goal_HardTalk_07,"Lanayru001_Goal_HardTalk_07"
Failed_01_02_01,"Failed_01_02_01"
EntranceTalk_Expert_Greet02,"EntranceTalk_Expert_Greet02"
Lanayru001_Goal_HardTalk_08,"Lanayru001_Goal_HardTalk_08"
EntranceTalk_Expert_Greet03,"EntranceTalk_Expert_Greet03"
Lanayru001_Goal_HardTalk_09,"Lanayru001_Goal_HardTalk_09"
Lanayru002_Expert_Near01,"Lanayru002_Expert_Near01"
GoalBeginnerCourse_GoodTime_Expert1,"GoalBeginnerCourse_GoodTime_Expert1"
Lanayru002_Expert_Near02,"Lanayru002_Expert_Near02"
AskPurpose_Beginner,"AskPurpose_Beginner"
Goal_CommonTime_Expert1,"Goal_CommonTime_Expert1"
Near01,"Near01"
Goal_BadTime_Expert_rupi_01,"Goal_BadTime_Expert_rupi_01"
Goal_CommonTime_Expert2,"Goal_CommonTime_Expert2"
Near02,"Near02"
Pouch_Check00,"Pouch_Check00"
0001,"0001"
Near03,"Near03"
Pouch_Check01,"Pouch_Check01"
0002,"0002"
Lanayru002_Near01,"Lanayru002_Near01"
Lanayru001_TalkInRace,"Lanayru001_TalkInRace"
Pouch_Check02,"Pouch_Check02"
Pouch_Check03,"Pouch_Check03"
ChangeExpertToBeginner_Expert,"ChangeExpertToBeginner_Expert"
Lanayru002_Goal_HardTalk_01,"Lanayru002_Goal_HardTalk_01"
Lanayru002_Near02,"Lanayru002_Near02"
0004,"0004"
HintNextStep_Beginner,"HintNextStep_Beginner"
Lanayru002_Failed_Talk_01,"Lanayru002_Failed_Talk_01"
Lanayru002_Goal_HardTalk_02,"Lanayru002_Goal_HardTalk_02"
Lanayru002_Near03,"Lanayru002_Near03"
Pouch_Check04,"Pouch_Check04"
Lanayru002_Failed_Talk_02,"Lanayru002_Failed_Talk_02"
CautionBigDoor_Expert,"CautionBigDoor_Expert"
Lanayru002_Goal_HardTalk_03,"Lanayru002_Goal_HardTalk_03"
Pouch_Check05,"Pouch_Check05"
Lanayru002_Goal_HardTalk_04,"Lanayru002_Goal_HardTalk_04"
0006,"0006"
Failed_02,"Failed_02"
Lanayru002_Goal_HardTalk_05,"Lanayru002_Goal_HardTalk_05"
0007,"0007"
Lanayru002_Goal_HardTalk_06,"Lanayru002_Goal_HardTalk_06"
0008,"0008"
Lanayru002_Goal_HardTalk_07,"Lanayru002_Goal_HardTalk_07"
0009,"0009"
AskPurpose_Expert_Again,"AskPurpose_Expert_Again"
Lanayru002_Goal_HardTalk_08,"Lanayru002_Goal_HardTalk_08"
Lanayru002_Goal_HardTalk_09,"Lanayru002_Goal_HardTalk_09"
0014,"0014"
Goal_CommonTime_Expert,"Goal_CommonTime_Expert"
0015,"0015"
ExplainExpertCourseToBeginner_Expert_01_01,"ExplainExpertCourseToBeginner_Expert_01_01"
0016,"0016"
suremi_fire_shield1,"suremi_fire_shield1"
0017,"0017"
Lanayru001_Goal_EasyTalk_01,"Lanayru001_Goal_EasyTalk_01"
ExplainExpertCourseToBeginner_Expert_01_02,"ExplainExpertCourseToBeginner_Expert_01_02"
Goal_GoodTime_Expert,"Goal_GoodTime_Expert"
Lanayru001_Goal_EasyTalk_02,"Lanayru001_Goal_EasyTalk_02"
0018,"0018"
Lanayru001_Goal_EasyTalk_03,"Lanayru001_Goal_EasyTalk_03"
0021,"0021"
Goal_BadTime_Expert_rupi,"Goal_BadTime_Expert_rupi"
Lanayru001_TalkInRace_2nd,"Lanayru001_TalkInRace_2nd"
Lanayru001_Goal_EasyTalk_04,"Lanayru001_Goal_EasyTalk_04"
Goal_BadTime_Expert_dame1,"Goal_BadTime_Expert_dame1"
0022,"0022"
RefusePay_00,"RefusePay_00"
EntranceExplain_Beginner,"EntranceExplain_Beginner"
Lanayru001_Goal_EasyTalk_05,"Lanayru001_Goal_EasyTalk_05"
GoalBeginnerCourse_BadTime_Expert1,"GoalBeginnerCourse_BadTime_Expert1"
0023,"0023"
Goal_CommonTime_Beginner,"Goal_CommonTime_Beginner"
Goal_WonderfulTime_Expert,"Goal_WonderfulTime_Expert"
AskRupee_Beginner_1st,"AskRupee_Beginner_1st"
Course_Check_01,"Course_Check_01"
Course_Check_02,"Course_Check_02"
Failed_00_00,"Failed_00_00"
Course_Check_03,"Course_Check_03"
GoalBeginnerCourse_BadTime_Expert,"GoalBeginnerCourse_BadTime_Expert"
Failed_00_01,"Failed_00_01"
NotHadEnoughRupee,"NotHadEnoughRupee"
Goal_BadTime_Expert,"Goal_BadTime_Expert"
IfSelectExpertCourse_Expert,"IfSelectExpertCourse_Expert"
ExplainExpertCourseToBeginner_Expert_00,"ExplainExpertCourseToBeginner_Expert_00"
AboutGame_00,"AboutGame_00"
ExplainExpertCourseToBeginner_Expert_01,"ExplainExpertCourseToBeginner_Expert_01"
AboutCourse_Beginner,"AboutCourse_Beginner"
Lanayru002_Goal_EasyTalk_01,"Lanayru002_Goal_EasyTalk_01"
ExplainExpertCourseToBeginner_Expert_02,"ExplainExpertCourseToBeginner_Expert_02"
Lanayru002_Goal_EasyTalk_02,"Lanayru002_Goal_EasyTalk_02"
LetsStart_02,"LetsStart_02"
Lanayru002_Goal_EasyTalk_03,"Lanayru002_Goal_EasyTalk_03"
LetsStart_03,"LetsStart_03"
Lanayru002_Goal_EasyTalk_04,"Lanayru002_Goal_EasyTalk_04"
Lanayru001_Near01,"Lanayru001_Near01"
LetsStart_04,"LetsStart_04"
Lanayru002_Goal_EasyTalk_05,"Lanayru002_Goal_EasyTalk_05"
Lanayru001_Near02,"Lanayru001_Near02"
Goal_GoodTime_Beginner,"Goal_GoodTime_Beginner"
Lanayru001_Near03,"Lanayru001_Near03"
