Label,String
BarumePlain,"BarumePlain"
CheckPoint046,"CheckPoint046"
Dungeon081,"Dungeon081"
Dungeon125,"Dungeon125"
HyruleEastTown,"HyruleEastTown"
PaparaPlateau,"PaparaPlateau"
StonePillers,"StonePillers"
Well_0049,"Well_0049"
CheckPoint047,"CheckPoint047"
Dungeon082,"Dungeon082"
Dungeon126,"Dungeon126"
FenaMt,"FenaMt"
GameGutsCriff,"GameGutsCriff"
MapArea_TamulSea_Underground,"MapArea_TamulSea_Underground"
MinusField_CresiaPeninsula,"MinusField_CresiaPeninsula"
MinusField_GanondorfArea,"MinusField_GanondorfArea"
MinusField_LomeiIsland,"MinusField_LomeiIsland"
ShimukaPlateau,"ShimukaPlateau"
Cave_HyruleForest_0006,"Cave_HyruleForest_0006"
CheckPoint048,"CheckPoint048"
Dungeon083,"Dungeon083"
Dungeon127,"Dungeon127"
GarakishiPass,"GarakishiPass"
HeburaPeak,"HeburaPeak"
KitanoBay,"KitanoBay"
MapArea_LanayruSea_Sky,"MapArea_LanayruSea_Sky"
MinusField_DasukidaMt,"MinusField_DasukidaMt"
MinusField_KimarikaMt,"MinusField_KimarikaMt"
ShopGeneral_Zora,"ShopGeneral_Zora"
TerumeMt,"TerumeMt"
AdeyaLake,"AdeyaLake"
Cave_HyruleForest_0007,"Cave_HyruleForest_0007"
Cave_LanayruMountain_0014,"Cave_LanayruMountain_0014"
CheckPoint049,"CheckPoint049"
ChuonoPond,"ChuonoPond"
Dungeon084,"Dungeon084"
Dungeon128,"Dungeon128"
LargeDungeonFire_5F,"LargeDungeonFire_5F"
MapRegion_Firone_Sky,"MapRegion_Firone_Sky"
MinusField_GashamahiMt,"MinusField_GashamahiMt"
MuguriPlain,"MuguriPlain"
RutesLake,"RutesLake"
SmallDemonStatue,"SmallDemonStatue"
SonoPrairie,"SonoPrairie"
TrakaIsland_New,"TrakaIsland_New"
YamabiLake,"YamabiLake"
Cave_HyruleForest_0008,"Cave_HyruleForest_0008"
DeepHole_RirimukuMt,"DeepHole_RirimukuMt"
Dungeon085,"Dungeon085"
Dungeon129,"Dungeon129"
MapArea_GerudoHighlands_Underground,"MapArea_GerudoHighlands_Underground"
MapArea_HeburaMountains,"MapArea_HeburaMountains"
