Label,String
Talk_16,"Talk_16"
Talk_45,"Talk_45"
Talk_17,"Talk_17"
Talk_18,"Talk_18"
Talk_47,"Talk_47"
Talk_51,"Talk_51"
Talk_52,"Talk_52"
Talk_53,"Talk_53"
Info_01,"Info_01"
Talk_54,"Talk_54"
Rouge_BossHint4_00,"Rouge_BossHint4_00"
Rouge_BossHint4_01,"Rouge_BossHint4_01"
Talk_00,"Talk_00"
Talk_58,"Talk_58"
Rouge_BossHint4_02,"Rouge_BossHint4_02"
Talk_01,"Talk_01"
Talk_30,"Talk_30"
Talk_59,"Talk_59"
Rouge_BossHint4_03,"Rouge_BossHint4_03"
Talk_02,"Talk_02"
Rouge_BossHint4_04,"Rouge_BossHint4_04"
LastBattleJoin_00,"LastBattleJoin_00"
Talk_03,"Talk_03"
Info_09,"Info_09"
Rouge_BossHint4_05,"Rouge_BossHint4_05"
LastBattleJoin_01,"LastBattleJoin_01"
Talk_04,"Talk_04"
Info_10,"Info_10"
Rouge_BossHint4_06,"Rouge_BossHint4_06"
Talk_05,"Talk_05"
Rouge_BossHint4_07,"Rouge_BossHint4_07"
Talk_06,"Talk_06"
Talk_35,"Talk_35"
Info_12,"Info_12"
Rouge_BossHint4_08,"Rouge_BossHint4_08"
Talk_07,"Talk_07"
Talk_36,"Talk_36"
Info_13,"Info_13"
Rouge_BossHint4_09,"Rouge_BossHint4_09"
Talk_08,"Talk_08"
Talk_37,"Talk_37"
Info_14,"Info_14"
Rouge_BossHint4_10,"Rouge_BossHint4_10"
Talk_09,"Talk_09"
Info_15,"Info_15"
Rouge_BossHint4_11,"Rouge_BossHint4_11"
Talk_10,"Talk_10"
Rouge_BossHint4_12,"Rouge_BossHint4_12"
Talk_11,"Talk_11"
Info_17,"Info_17"
Info_18,"Info_18"
Talk_42,"Talk_42"
