Label,String
Dm_GE_GrandFinale_04,"Dm_GE_GrandFinale_04"
Dm_GE_GrandFinale_14,"Dm_GE_GrandFinale_14"
Dm_GE_GrandFinale_24,"Dm_GE_GrandFinale_24"
Dm_GE_GrandFinale_05,"Dm_GE_GrandFinale_05"
Dm_GE_GrandFinale_15,"Dm_GE_GrandFinale_15"
Dm_GE_GrandFinale_06,"Dm_GE_GrandFinale_06"
Dm_GE_GrandFinale_16,"Dm_GE_GrandFinale_16"
Dm_GE_GrandFinale_07,"Dm_GE_GrandFinale_07"
Dm_GE_GrandFinale_17,"Dm_GE_GrandFinale_17"
Dm_GE_GrandFinale_08,"Dm_GE_GrandFinale_08"
Dm_GE_GrandFinale_18,"Dm_GE_GrandFinale_18"
Dm_GE_GrandFinale_09,"Dm_GE_GrandFinale_09"
Dm_GE_GrandFinale_19,"Dm_GE_GrandFinale_19"
Dm_GE_GrandFinale_20,"Dm_GE_GrandFinale_20"
Dm_GE_GrandFinale_01,"Dm_GE_GrandFinale_01"
Dm_GE_GrandFinale_21,"Dm_GE_GrandFinale_21"
Dm_GE_GrandFinale_11,"Dm_GE_GrandFinale_11"
Dm_GE_GrandFinale_12,"Dm_GE_GrandFinale_12"
Dm_GE_GrandFinale_02,"Dm_GE_GrandFinale_02"
Dm_GE_GrandFinale_22,"Dm_GE_GrandFinale_22"
Dm_GE_GrandFinale_13,"Dm_GE_GrandFinale_13"
Dm_GE_GrandFinale_03,"Dm_GE_GrandFinale_03"
Dm_GE_GrandFinale_23,"Dm_GE_GrandFinale_23"
