Label,String
DmT_ZE_Meet_Text_010_b,"DmT_ZE_Meet_Text_010_b"
DmT_ZE_Meet_Text_021_c,"DmT_ZE_Meet_Text_021_c"
DmT_ZE_Meet_Text_023_b,"DmT_ZE_Meet_Text_023_b"
DmT_ZE_Meet_Text_012_b,"DmT_ZE_Meet_Text_012_b"
DmT_ZE_Meet_Text_002_bbb,"DmT_ZE_Meet_Text_002_bbb"
DmT_ZE_Meet_Text_014_b,"DmT_ZE_Meet_Text_014_b"
DmT_ZE_Meet_Text_025_c,"DmT_ZE_Meet_Text_025_c"
DmT_ZE_Meet_Text_027_b,"DmT_ZE_Meet_Text_027_b"
DmT_ZE_Meet_Text_003_b,"DmT_ZE_Meet_Text_003_b"
DmT_ZE_Meet_Text_005_b,"DmT_ZE_Meet_Text_005_b"
DmT_ZE_Meet_Text_016_c,"DmT_ZE_Meet_Text_016_c"
DmT_ZE_Meet_Text_018_b,"DmT_ZE_Meet_Text_018_b"
DmT_ZE_Meet_Text_005_c,"DmT_ZE_Meet_Text_005_c"
DmT_ZE_Meet_Text_007_b,"DmT_ZE_Meet_Text_007_b"
DmT_ZE_Meet_Text_009_b,"DmT_ZE_Meet_Text_009_b"
DmT_ZE_Meet_Text_020_b,"DmT_ZE_Meet_Text_020_b"
DmT_ZE_Meet_Text_011_b,"DmT_ZE_Meet_Text_011_b"
DmT_ZE_Meet_Text_022_c,"DmT_ZE_Meet_Text_022_c"
DmT_ZE_Meet_Text_013_b,"DmT_ZE_Meet_Text_013_b"
DmT_ZE_Meet_Text_021_bb,"DmT_ZE_Meet_Text_021_bb"
DmT_ZE_Meet_Text_024_c,"DmT_ZE_Meet_Text_024_c"
DmT_ZE_Meet_Text_002_c,"DmT_ZE_Meet_Text_002_c"
DmT_ZE_Meet_Text_004_b,"DmT_ZE_Meet_Text_004_b"
DmT_ZE_Meet_Text_015_c,"DmT_ZE_Meet_Text_015_c"
DmT_ZE_Meet_Text_006_b,"DmT_ZE_Meet_Text_006_b"
DmT_ZE_Meet_Text_019_b,"DmT_ZE_Meet_Text_019_b"
DmT_ZE_Meet_Text_008_b,"DmT_ZE_Meet_Text_008_b"
DmT_ZE_Meet_Text_002_bd,"DmT_ZE_Meet_Text_002_bd"
DmT_ZE_Meet_Text_021_b,"DmT_ZE_Meet_Text_021_b"
