Label,String
DmT_ZE_Molduga_Text_004_aab,"DmT_ZE_Molduga_Text_004_aab"
DmT_ZE_Molduga_Text_000_b,"DmT_ZE_Molduga_Text_000_b"
DmT_ZE_Molduga_Text_001_b,"DmT_ZE_Molduga_Text_001_b"
DmT_ZE_Molduga_Text_003_b,"DmT_ZE_Molduga_Text_003_b"
DmT_ZE_Molduga_Text_004_b,"DmT_ZE_Molduga_Text_004_b"
DmT_ZE_Molduga_Text_006_b,"DmT_ZE_Molduga_Text_006_b"
DmT_ZE_Molduga_Text_008_ab,"DmT_ZE_Molduga_Text_008_ab"
DmT_ZE_Molduga_Text_015_b,"DmT_ZE_Molduga_Text_015_b"
DmT_ZE_Molduga_Text_016_b,"DmT_ZE_Molduga_Text_016_b"
DmT_ZE_Molduga_Text_002_bb,"DmT_ZE_Molduga_Text_002_bb"
DmT_ZE_Molduga_Text_005_c,"DmT_ZE_Molduga_Text_005_c"
DmT_ZE_Molduga_Text_007_c,"DmT_ZE_Molduga_Text_007_c"
DmT_ZE_Molduga_Text_008_ac,"DmT_ZE_Molduga_Text_008_ac"
DmT_ZE_Molduga_Text_000_ac,"DmT_ZE_Molduga_Text_000_ac"
DmT_ZE_Molduga_Text_002_d,"DmT_ZE_Molduga_Text_002_d"
DmT_ZE_Molduga_Text_003_d,"DmT_ZE_Molduga_Text_003_d"
DmT_ZE_Molduga_Text_007_bab,"DmT_ZE_Molduga_Text_007_bab"
DmT_ZE_Molduga_Text_007_f,"DmT_ZE_Molduga_Text_007_f"
DmT_ZE_Molduga_Text_003_bc,"DmT_ZE_Molduga_Text_003_bc"
DmT_ZE_Molduga_Text_004_ac,"DmT_ZE_Molduga_Text_004_ac"
DmT_ZE_Molduga_Text_000_abb,"DmT_ZE_Molduga_Text_000_abb"
DmT_ZE_Molduga_Text_006_ab,"DmT_ZE_Molduga_Text_006_ab"
DmT_ZE_Molduga_Text_007_cb,"DmT_ZE_Molduga_Text_007_cb"
