Label,String
Talk_07,"Talk_07"
Talk_08,"Talk_08"
Talk_09,"Talk_09"
Talk_20,"Talk_20"
near_01,"near_01"
Talk_21,"Talk_21"
Talk_22,"Talk_22"
near_02,"near_02"
Talk_10,"Talk_10"
Talk_23,"Talk_23"
Talk_11,"Talk_11"
Talk_24,"Talk_24"
near_04,"near_04"
Talk_12,"Talk_12"
Talk_26,"Talk_26"
Talk_14,"Talk_14"
Talk_01,"Talk_01"
Talk_27,"Talk_27"
Talk_15,"Talk_15"
Talk_02,"Talk_02"
Talk_28,"Talk_28"
Talk_16,"Talk_16"
Talk_03,"Talk_03"
Talk_29,"Talk_29"
Talk_17,"Talk_17"
Talk_04,"Talk_04"
Talk_18,"Talk_18"
Talk_05,"Talk_05"
Talk_06,"Talk_06"
Talk_19,"Talk_19"
