Label,String
Talk_14,"Talk_14"
Talk_43,"Talk_43"
Talk_15,"Talk_15"
Talk_44,"Talk_44"
Talk_45,"Talk_45"
Talk_16,"Talk_16"
near_00,"near_00"
Talk_17,"Talk_17"
Talk_46,"Talk_46"
Talk_18,"Talk_18"
Talk_47,"Talk_47"
Talk_19,"Talk_19"
Talk_48,"Talk_48"
Talk_20,"Talk_20"
Talk_50,"Talk_50"
Talk_21,"Talk_21"
Talk_23,"Talk_23"
Talk_53,"Talk_53"
Talk_24,"Talk_24"
Talk_54,"Talk_54"
Talk_25,"Talk_25"
Talk_55,"Talk_55"
Talk_26,"Talk_26"
Battle_02,"Battle_02"
Talk_28,"Talk_28"
0000,"0000"
Talk_29,"Talk_29"
0001,"0001"
Battle_04,"Battle_04"
Talk_30,"Talk_30"
0002,"0002"
Talk_02,"Talk_02"
Talk_31,"Talk_31"
Battle_05,"Battle_05"
0003,"0003"
Talk_03,"Talk_03"
Talk_32,"Talk_32"
Talk_04,"Talk_04"
Talk_33,"Talk_33"
Talk_34,"Talk_34"
Talk_35,"Talk_35"
Talk_36,"Talk_36"
Talk_40,"Talk_40"
Talk_12,"Talk_12"
Talk_41,"Talk_41"
Talk_13,"Talk_13"
