Label,String
Talk_Ready_1001,"Talk_Ready_1001"
Talk_Warning_1001,"Talk_Warning_1001"
baloon_Ready_0001,"baloon_Ready_0001"
Talk_Ready_1002,"Talk_Ready_1002"
Talk_Success_1001,"Talk_Success_1001"
baloon_Ready_0002,"baloon_Ready_0002"
Talk_Ready_1003,"Talk_Ready_1003"
Talk_TryToDestroy_1001,"Talk_TryToDestroy_1001"
Talk_Warning_1003,"Talk_Warning_1003"
Talk_Ready_1004,"Talk_Ready_1004"
Talk_TryToDestroy_1002,"Talk_TryToDestroy_1002"
Talk_TryToDestroy_1003,"Talk_TryToDestroy_1003"
Talk_Warning_1005,"Talk_Warning_1005"
Talk_Warning_1006,"Talk_Warning_1006"
Talk_TryToDestroy_1005,"Talk_TryToDestroy_1005"
Talk_TryToDestroy_1006,"Talk_TryToDestroy_1006"
Talk_TryToDestroy_1008,"Talk_TryToDestroy_1008"
