Label,String
Near_2000,"Near_2000"
Talk_4000,"Talk_4000"
Near_2001,"Near_2001"
Talk_4001,"Talk_4001"
Near_2002,"Near_2002"
Talk_4002,"Talk_4002"
Near_2003,"Near_2003"
Talk_4003,"Talk_4003"
Talk_4020,"Talk_4020"
Talk_4004,"Talk_4004"
Talk_4005,"Talk_4005"
Talk_4022,"Talk_4022"
Talk_4006,"Talk_4006"
Talk_4023,"Talk_4023"
Talk_4007,"Talk_4007"
Talk_4024,"Talk_4024"
Talk_4008,"Talk_4008"
Talk_4025,"Talk_4025"
Talk_4009,"Talk_4009"
Talk_4026,"Talk_4026"
Near_5000,"Near_5000"
Talk_4027,"Talk_4027"
Talk_5010,"Talk_5010"
Talk_4028,"Talk_4028"
Talk_5011,"Talk_5011"
Talk_3000,"Talk_3000"
Talk_4029,"Talk_4029"
Talk_5012,"Talk_5012"
Talk_3001,"Talk_3001"
Talk_5013,"Talk_5013"
Talk_5014,"Talk_5014"
Talk_5016,"Talk_5016"
Talk_3005,"Talk_3005"
Near_4000,"Near_4000"
Talk_5017,"Talk_5017"
Near_4001,"Near_4001"
Near_4002,"Near_4002"
Talk_3009,"Talk_3009"
Talk_4010,"Talk_4010"
Talk_2003,"Talk_2003"
Talk_4011,"Talk_4011"
Talk_2004,"Talk_2004"
Talk_4013,"Talk_4013"
Talk_4030,"Talk_4030"
Talk_4014,"Talk_4014"
Talk_4031,"Talk_4031"
Talk_4015,"Talk_4015"
Talk_4032,"Talk_4032"
Talk_4033,"Talk_4033"
Talk_4016,"Talk_4016"
Near_3000,"Near_3000"
0010,"0010"
Talk_4034,"Talk_4034"
Talk_4017,"Talk_4017"
0011,"0011"
Talk_4035,"Talk_4035"
Talk_4018,"Talk_4018"
Talk_5001,"Talk_5001"
0012,"0012"
Talk_4036,"Talk_4036"
Talk_4019,"Talk_4019"
Talk_5002,"Talk_5002"
Talk_5003,"Talk_5003"
0013,"0013"
0014,"0014"
0015,"0015"
Talk_5005,"Talk_5005"
Talk_3011,"Talk_3011"
Talk_3012,"Talk_3012"
NakedPlayer_00,"NakedPlayer_00"
Talk_3013,"Talk_3013"
NakedPlayer_01,"NakedPlayer_01"
Talk_3014,"Talk_3014"
Talk_5009,"Talk_5009"
Near_6000,"Near_6000"
NakedPlayer_02,"NakedPlayer_02"
Talk_3015,"Talk_3015"
Talk_3016,"Talk_3016"
