Label,String
Talk62,"Talk62"
Talk14,"Talk14"
Talk63,"Talk63"
Talk15,"Talk15"
Talk16,"Talk16"
Talk64,"Talk64"
0001,"0001"
Talk65,"Talk65"
Talk17,"Talk17"
0002,"0002"
0003,"0003"
Talk19,"Talk19"
Talk20,"Talk20"
0004,"0004"
0005,"0005"
Talk21,"Talk21"
Talk22,"Talk22"
0006,"0006"
CompNear01,"CompNear01"
Talk23,"Talk23"
CompNear02,"CompNear02"
Talk24,"Talk24"
CompNear03,"CompNear03"
Talk25,"Talk25"
TerrorImpulse,"TerrorImpulse"
Near01,"Near01"
Talk26,"Talk26"
Near02,"Near02"
Talk27,"Talk27"
Near03,"Near03"
Talk28,"Talk28"
Talk29,"Talk29"
Talk30,"Talk30"
Talk31,"Talk31"
Talk32,"Talk32"
Talk33,"Talk33"
Talk34,"Talk34"
Talk35,"Talk35"
Talk36,"Talk36"
Talk37,"Talk37"
Talk38,"Talk38"
Talk41,"Talk41"
Talk42,"Talk42"
Talk43,"Talk43"
Talk44,"Talk44"
CompTalk01,"CompTalk01"
Talk45,"Talk45"
CompTalk02,"CompTalk02"
Talk46,"Talk46"
CompTalk03,"CompTalk03"
Talk47,"Talk47"
CompTalk04,"CompTalk04"
Talk48,"Talk48"
CompTalk05,"CompTalk05"
Talk50,"Talk50"
Talk02,"Talk02"
CompTalk06,"CompTalk06"
Talk51,"Talk51"
Talk03,"Talk03"
CompTalk07,"CompTalk07"
Talk52,"Talk52"
Talk04,"Talk04"
Talk53,"Talk53"
Talk05,"Talk05"
CompTalk10,"CompTalk10"
Talk54,"Talk54"
CompTalk11,"CompTalk11"
Talk55,"Talk55"
CompTalk12,"CompTalk12"
Talk56,"Talk56"
Talk08,"Talk08"
CompTalk13,"CompTalk13"
Talk10,"Talk10"
Talk57,"Talk57"
Talk09,"Talk09"
Talk58,"Talk58"
Talk11,"Talk11"
Talk60,"Talk60"
Talk59,"Talk59"
Talk12,"Talk12"
Enokida,"Enokida"
Talk61,"Talk61"
Talk13,"Talk13"
