Label,String
near0003,"near0003"
Talk1022,"Talk1022"
Comment_03,"Comment_03"
near0004,"near0004"
Talk1023,"Talk1023"
Comment_04,"Comment_04"
near0005,"near0005"
Talk1024,"Talk1024"
Comment_05,"Comment_05"
Talk1025,"Talk1025"
Comment_06,"Comment_06"
Comment_07,"Comment_07"
Comment_08,"Comment_08"
Talk1010,"Talk1010"
Talk1029,"Talk1029"
Talk1011,"Talk1011"
Talk1012,"Talk1012"
0000,"0000"
Talk1013,"Talk1013"
0001,"0001"
Talk1014,"Talk1014"
NakedPlayer,"NakedPlayer"
0002,"0002"
Talk1015,"Talk1015"
0003,"0003"
Talk1016,"Talk1016"
Talk1040,"Talk1040"
Talk1017,"Talk1017"
Talk1018,"Talk1018"
Talk1041,"Talk1041"
SagonoHat,"SagonoHat"
Talk1019,"Talk1019"
Talk1042,"Talk1042"
Talk1001,"Talk1001"
Talk1043,"Talk1043"
Talk1002,"Talk1002"
Talk1044,"Talk1044"
Talk1003,"Talk1003"
Comment_10,"Comment_10"
Talk1006,"Talk1006"
Talk1030,"Talk1030"
Comment_11,"Comment_11"
Talk1007,"Talk1007"
Talk1031,"Talk1031"
Comment_12,"Comment_12"
Talk1008,"Talk1008"
Talk1032,"Talk1032"
Talk1009,"Talk1009"
Talk1033,"Talk1033"
Talk1034,"Talk1034"
Talk1035,"Talk1035"
Talk1036,"Talk1036"
near0000,"near0000"
Talk1020,"Talk1020"
Talk1038,"Talk1038"
near0002,"near0002"
Talk1021,"Talk1021"
Talk1039,"Talk1039"
