Label,String
Talk01_11_Rain_00,"Talk01_11_Rain_00"
TerrorEnemy_00,"TerrorEnemy_00"
TerrorHorse_01,"TerrorHorse_01"
Talk01_11_Rain,"Talk01_11_Rain"
ReturnHome_01,"ReturnHome_01"
talk24,"talk24"
ReturnHome_02,"ReturnHome_02"
TerrorSword,"TerrorSword"
NakedPlayer,"NakedPlayer"
talk25,"talk25"
ReturnHome_03,"ReturnHome_03"
talk26,"talk26"
Talk01_11,"Talk01_11"
Talk01_12,"Talk01_12"
CarrotGarden_Npc_Kakariko013_Water_01,"CarrotGarden_Npc_Kakariko013_Water_01"
Talk01_13,"Talk01_13"
Ballon01_03_Rain,"Ballon01_03_Rain"
talk30,"talk30"
CarrotGarden_Npc_Kakariko013_Water_03,"CarrotGarden_Npc_Kakariko013_Water_03"
PumpkinGarden_Npc_Kakariko013_Water_03,"PumpkinGarden_Npc_Kakariko013_Water_03"
Ballon01_02,"Ballon01_02"
Talk01_15,"Talk01_15"
CarrotGarden_Npc_Kakariko013_Water_04,"CarrotGarden_Npc_Kakariko013_Water_04"
PumpkinGarden_Npc_Kakariko013_Water_04,"PumpkinGarden_Npc_Kakariko013_Water_04"
Ballon01_03,"Ballon01_03"
talk32,"talk32"
Talk_Greeting_01,"Talk_Greeting_01"
0003,"0003"
talk33,"talk33"
Talk_Greeting_02,"Talk_Greeting_02"
talk05,"talk05"
0004,"0004"
Talk_Greeting_03,"Talk_Greeting_03"
Ballon01_06,"Ballon01_06"
0005,"0005"
TerrorFire_01,"TerrorFire_01"
TerrorIce_02,"TerrorIce_02"
Talk_Greeting_04,"Talk_Greeting_04"
0006,"0006"
Talk_Greeting_05,"Talk_Greeting_05"
Ballon01_03_2,"Ballon01_03_2"
Ballon01_03_3,"Ballon01_03_3"
Ballon01_03_4,"Ballon01_03_4"
talk10,"talk10"
talk11,"talk11"
TerrorArrow_02,"TerrorArrow_02"
talk12,"talk12"
talk13,"talk13"
talk14,"talk14"
