Label,String
SavedLv3_01,"SavedLv3_01"
GoodBye02,"GoodBye02"
Talk03_00,"Talk03_00"
Thanks00,"Thanks00"
Talk03_01,"Talk03_01"
SavedLv1_00,"SavedLv1_00"
Thanks01,"Thanks01"
SavedLv1_01,"SavedLv1_01"
Atacked00,"Atacked00"
Talk01_00,"Talk01_00"
Talk99,"Talk99"
Talk100,"Talk100"
Atacked01,"Atacked01"
Talk01_01,"Talk01_01"
Talk99_01,"Talk99_01"
AfterFailed,"AfterFailed"
SavedLv2_00,"SavedLv2_00"
Failed00,"Failed00"
SavedLv2_01,"SavedLv2_01"
Failed01,"Failed01"
GoodBye00_00,"GoodBye00_00"
After00,"After00"
Talk02_00,"Talk02_00"
Talk02_01,"Talk02_01"
Talk00_00,"Talk00_00"
GoodBye00,"GoodBye00"
Talk00_01,"Talk00_01"
SavedLv3_00,"SavedLv3_00"
Guardian00,"Guardian00"
ClearTerrorEnemy,"ClearTerrorEnemy"
GoodBye01,"GoodBye01"
