Label,String
Talk_22,"Talk_22"
Near_06,"Near_06"
Talk_23,"Talk_23"
Talk_06,"Talk_06"
Near_07,"Near_07"
SagonoHat,"SagonoHat"
Talk_07,"Talk_07"
Near_08,"Near_08"
Near_09,"Near_09"
Talk_11,"Talk_11"
SavedLv1_00,"SavedLv1_00"
Talk_12,"Talk_12"
SavedLv1_01,"SavedLv1_01"
SavedLv2_00,"SavedLv2_00"
Talk_13,"Talk_13"
SavedLv2_01,"SavedLv2_01"
SavedLv3_00,"SavedLv3_00"
SavedLv3_01,"SavedLv3_01"
Talk_16,"Talk_16"
Talk_17,"Talk_17"
Talk_18,"Talk_18"
Talk_00,"Talk_00"
Atacked00,"Atacked00"
Guardian00,"Guardian00"
Talk_01,"Talk_01"
Talk_19,"Talk_19"
Failed00,"Failed00"
Atacked01,"Atacked01"
ComNakedCheck_W_001,"ComNakedCheck_W_001"
Failed01,"Failed01"
EnokidaSignboard,"EnokidaSignboard"
Talk_20,"Talk_20"
Thanks00,"Thanks00"
NakedPlayer,"NakedPlayer"
Talk_21,"Talk_21"
Near_05,"Near_05"
