Label,String
Talk_0061,"Talk_0061"
Talk_0096,"Talk_0096"
Talk_0062,"Talk_0062"
Near_0001,"Near_0001"
Talk_0097,"Talk_0097"
Talk_0063,"Talk_0063"
Talk_0098,"Talk_0098"
Talk_0064,"Talk_0064"
Talk_0065,"Talk_0065"
Talk_1001,"Talk_1001"
Talk_0066,"Talk_0066"
Talk_1002,"Talk_1002"
Talk_0067,"Talk_0067"
Talk_0068,"Talk_0068"
Talk_0069,"Talk_0069"
Talk_0080,"Talk_0080"
Talk_0081,"Talk_0081"
Talk_0082,"Talk_0082"
Talk_0083,"Talk_0083"
Talk_0084,"Talk_0084"
Talk_0085,"Talk_0085"
Talk_0051,"Talk_0051"
Talk_0086,"Talk_0086"
0000,"0000"
Talk_0052,"Talk_0052"
Talk_0087,"Talk_0087"
0001,"0001"
Talk_0088,"Talk_0088"
Talk_0007,"Talk_0007"
Talk_0053,"Talk_0053"
Talk_0089,"Talk_0089"
Talk_0054,"Talk_0054"
Talk_0055,"Talk_0055"
Talk_0056,"Talk_0056"
Talk_0057,"Talk_0057"
Talk_0100,"Talk_0100"
Talk_0058,"Talk_0058"
Talk_0059,"Talk_0059"
Talk_0102,"Talk_0102"
Talk_0070,"Talk_0070"
Talk_0071,"Talk_0071"
Talk_0103,"Talk_0103"
Talk_0072,"Talk_0072"
Talk_Sleep,"Talk_Sleep"
Talk_0073,"Talk_0073"
Talk_0074,"Talk_0074"
Talk_0040,"Talk_0040"
Talk_0075,"Talk_0075"
Talk_0076,"Talk_0076"
Talk_0077,"Talk_0077"
Talk_0043,"Talk_0043"
Talk_0078,"Talk_0078"
Talk_0044,"Talk_0044"
Talk_0090,"Talk_0090"
Talk_0079,"Talk_0079"
Talk_0045,"Talk_0045"
Talk_0091,"Talk_0091"
Talk_0046,"Talk_0046"
Talk_0047,"Talk_0047"
Talk_0093,"Talk_0093"
Talk_0013,"Talk_0013"
Talk_0094,"Talk_0094"
Talk_0095,"Talk_0095"
Talk_0060,"Talk_0060"
