Label,String
talk0008,"talk0008"
NakedPlayer,"NakedPlayer"
near0002,"near0002"
talk0030,"talk0030"
near0003,"near0003"
talk0031,"talk0031"
talk0032,"talk0032"
talk0020,"talk0020"
0000,"0000"
talk0021,"talk0021"
0001,"0001"
0002,"0002"
talk0022,"talk0022"
talk0010,"talk0010"
0003,"0003"
talk0023,"talk0023"
talk0011,"talk0011"
0004,"0004"
talk0024,"talk0024"
0005,"0005"
talk0025,"talk0025"
talk0013,"talk0013"
talk0026,"talk0026"
talk0014,"talk0014"
talk0027,"talk0027"
talk0001,"talk0001"
talk2011,"talk2011"
talk0015,"talk0015"
talk0002,"talk0002"
talk0028,"talk0028"
talk2012,"talk2012"
talk0003,"talk0003"
talk0016,"talk0016"
talk0029,"talk0029"
talk2013,"talk2013"
talk0004,"talk0004"
talk0017,"talk0017"
talk2014,"talk2014"
talk0005,"talk0005"
talk0018,"talk0018"
talk2015,"talk2015"
talk0019,"talk0019"
talk0006,"talk0006"
talk2016,"talk2016"
talk0007,"talk0007"
