Label,String
talk0014,"talk0014"
talk0027,"talk0027"
talk0015,"talk0015"
talk0028,"talk0028"
talk0016,"talk0016"
talk0029,"talk0029"
talk0004,"talk0004"
talk0017,"talk0017"
talk0005,"talk0005"
talk0018,"talk0018"
talk0019,"talk0019"
talk0030,"talk0030"
talk0009,"talk0009"
talk0031,"talk0031"
0000,"0000"
talk0032,"talk0032"
0001,"0001"
talk0020,"talk0020"
talk0021,"talk0021"
0002,"0002"
talk0022,"talk0022"
0003,"0003"
talk0023,"talk0023"
0004,"0004"
talk0010,"talk0010"
talk0036,"talk0036"
0005,"0005"
talk0011,"talk0011"
talk0024,"talk0024"
talk0025,"talk0025"
talk0038,"talk0038"
talk0026,"talk0026"
talk0039,"talk0039"
