Label,String
Talk_1032,"Talk_1032"
0010,"0010"
Talk_1033,"Talk_1033"
Talk_1080,"Talk_1080"
Talk_1000,"Talk_1000"
Talk_1032_01,"Talk_1032_01"
Talk_1081,"Talk_1081"
Talk_1001,"Talk_1001"
Talk_1032_02,"Talk_1032_02"
Talk_1082,"Talk_1082"
Talk_1002,"Talk_1002"
Talk_1032_03,"Talk_1032_03"
Talk_1083,"Talk_1083"
Talk_1003,"Talk_1003"
Talk_1032_04,"Talk_1032_04"
Talk_1084,"Talk_1084"
Talk_1004,"Talk_1004"
Talk_1032_05,"Talk_1032_05"
Talk_1050,"Talk_1050"
Talk_1085,"Talk_1085"
Talk_1005,"Talk_1005"
Talk_1051,"Talk_1051"
Talk_1052,"Talk_1052"
Talk_1053,"Talk_1053"
Talk_1054,"Talk_1054"
Talk_1020,"Talk_1020"
Talk_1055,"Talk_1055"
Talk_1021,"Talk_1021"
Talk_1056,"Talk_1056"
Talk_1022,"Talk_1022"
Talk_1057,"Talk_1057"
0000,"0000"
Talk_1023,"Talk_1023"
Talk_1058,"Talk_1058"
0001,"0001"
Talk_1059,"Talk_1059"
Talk_1070,"Talk_1070"
Talk_1025,"Talk_1025"
0002,"0002"
Talk_1026,"Talk_1026"
0003,"0003"
Talk_1027,"Talk_1027"
0004,"0004"
Talk_1028,"Talk_1028"
0005,"0005"
0006,"0006"
Talk_1041,"Talk_1041"
0007,"0007"
0008,"0008"
Talk_1042,"Talk_1042"
0009,"0009"
Talk_1010,"Talk_1010"
Talk_1011,"Talk_1011"
Talk_1012,"Talk_1012"
Talk_1013,"Talk_1013"
Talk_1014,"Talk_1014"
Talk_1015,"Talk_1015"
Talk_1061,"Talk_1061"
Near_1000,"Near_1000"
Talk_1062,"Talk_1062"
Near_1001,"Near_1001"
Talk_1063,"Talk_1063"
Near_1002,"Near_1002"
Talk_1064,"Talk_1064"
Near_1003,"Near_1003"
Talk_1030,"Talk_1030"
Talk_1065,"Talk_1065"
Talk_1031,"Talk_1031"
Talk_1066,"Talk_1066"
