Label,String
Talk_14,"Talk_14"
Talk_43,"Talk_43"
Talk_15,"Talk_15"
Talk_16,"Talk_16"
Talk_18,"Talk_18"
Talk_19,"Talk_19"
Talk_20,"Talk_20"
Talk_21,"Talk_21"
Talk_51,"Talk_51"
Talk_52,"Talk_52"
Talk_24,"Talk_24"
Talk_53,"Talk_53"
Talk_25,"Talk_25"
Talk_54,"Talk_54"
Talk_55,"Talk_55"
Talk_56,"Talk_56"
Talk_57,"Talk_57"
Talk_00,"Talk_00"
Talk_29,"Talk_29"
0000,"0000"
Talk_58,"Talk_58"
Near_01,"Near_01"
Talk_01,"Talk_01"
Talk_30,"Talk_30"
0001,"0001"
Near_02,"Near_02"
Talk_02,"Talk_02"
Talk_31,"Talk_31"
0002,"0002"
Near_03,"Near_03"
Talk_03,"Talk_03"
Talk_32,"Talk_32"
0003,"0003"
Near_04,"Near_04"
Talk_04,"Talk_04"
0004,"0004"
Talk_33,"Talk_33"
Talk_34,"Talk_34"
Talk_06,"Talk_06"
Talk_07,"Talk_07"
Talk_36,"Talk_36"
Talk_09,"Talk_09"
Talk_38,"Talk_38"
Talk_39,"Talk_39"
Talk_41,"Talk_41"
Talk_12,"Talk_12"
Near_42,"Near_42"
Talk_13,"Talk_13"
Talk_42,"Talk_42"
