Label,String
MeetParkShido_Yona_12,"MeetParkShido_Yona_12"
MeetParkShido_Imu_05,"MeetParkShido_Imu_05"
DividedSlate_Ready03,"DividedSlate_Ready03"
DividedSlate_RepairCompleteDemo16,"DividedSlate_RepairCompleteDemo16"
talk0016,"talk0016"
GoToLake_Hifumi_03,"GoToLake_Hifumi_03"
ApearDungeon_31,"ApearDungeon_31"
Yona_13,"Yona_13"
DividedSlate_Ready04,"DividedSlate_Ready04"
talk0017,"talk0017"
Yona_14,"Yona_14"
talk0018,"talk0018"
Dm_ZO_0006_09,"Dm_ZO_0006_09"
Yona_15,"Yona_15"
talk0019,"talk0019"
Yona_16,"Yona_16"
Yona_17,"Yona_17"
near04,"near04"
Yona_18,"Yona_18"
FindDrefan_FindDrefan20,"FindDrefan_FindDrefan20"
Yona_19,"Yona_19"
FindDrefan_FindDrefan21,"FindDrefan_FindDrefan21"
near07,"near07"
GoToLake_Imu_01,"GoToLake_Imu_01"
SearchWaterBridge_Zia_01,"SearchWaterBridge_Zia_01"
SearchWaterBridge_Zia_02,"SearchWaterBridge_Zia_02"
GoToLake_Imu_03,"GoToLake_Imu_03"
SearchWaterBridge_Zia_03,"SearchWaterBridge_Zia_03"
Dm_ZO_0006_21,"Dm_ZO_0006_21"
talk0031,"talk0031"
Hifumi_NakedPlayer,"Hifumi_NakedPlayer"
SearchWaterBridge_Zia_04,"SearchWaterBridge_Zia_04"
Dm_ZO_0006_22,"Dm_ZO_0006_22"
talk0032,"talk0032"
SearchWaterBridge_Zia_05,"SearchWaterBridge_Zia_05"
Dm_ZO_0006_23,"Dm_ZO_0006_23"
Hifumi_NakedPlayer_00,"Hifumi_NakedPlayer_00"
talk0033,"talk0033"
SearchWaterBridge_Zia_06,"SearchWaterBridge_Zia_06"
FindDrefan_Complete01,"FindDrefan_Complete01"
Yona_30,"Yona_30"
talk0034,"talk0034"
SearchWaterBridge_Zia_07,"SearchWaterBridge_Zia_07"
FindDrefan_Complete02,"FindDrefan_Complete02"
Dm_ZO_0006_25,"Dm_ZO_0006_25"
Yona_31,"Yona_31"
talk0035,"talk0035"
SearchWaterBridge_Zia_08,"SearchWaterBridge_Zia_08"
FindDrefan_Complete03,"FindDrefan_Complete03"
Dm_ZO_0006_26,"Dm_ZO_0006_26"
talk0036,"talk0036"
Yona_32,"Yona_32"
SearchWaterBridge_Zia_09,"SearchWaterBridge_Zia_09"
FindDrefan_Complete04,"FindDrefan_Complete04"
Dm_ZO_0006_27,"Dm_ZO_0006_27"
talk0037,"talk0037"
FindDrefan_Complete05,"FindDrefan_Complete05"
Dm_ZO_0006_28,"Dm_ZO_0006_28"
BlackZeldaChace_Near01,"BlackZeldaChace_Near01"
talk0038,"talk0038"
FindDrefan_Complete06,"FindDrefan_Complete06"
Dm_ZO_0006_29,"Dm_ZO_0006_29"
talk0039,"talk0039"
FindDrefan_Complete07,"FindDrefan_Complete07"
FindDrefan_Complete08,"FindDrefan_Complete08"
FindDrefan_Complete09,"FindDrefan_Complete09"
talk0050,"talk0050"
talk0051,"talk0051"
KingRoom_66,"KingRoom_66"
0002,"0002"
talk0052,"talk0052"
KingRoom_67,"KingRoom_67"
talk0053,"talk0053"
KingRoom_68,"KingRoom_68"
0004,"0004"
GoToLake_Yona_01,"GoToLake_Yona_01"
talk0054,"talk0054"
0005,"0005"
GoToLake_Yona_02,"GoToLake_Yona_02"
talk0055,"talk0055"
GoToLake_Yona_03,"GoToLake_Yona_03"
TerminalTalk_10,"TerminalTalk_10"
talk0056,"talk0056"
0007,"0007"
ReportToParkShido_Imu_00,"ReportToParkShido_Imu_00"
GoToLake_Yona_04,"GoToLake_Yona_04"
0008,"0008"
talk0057,"talk0057"
ReportToParkShido_Imu_01,"ReportToParkShido_Imu_01"
GoToLake_Yona_05,"GoToLake_Yona_05"
0009,"0009"
talk0058,"talk0058"
ReportToParkShido_Imu_02,"ReportToParkShido_Imu_02"
GoToLake_Yona_06,"GoToLake_Yona_06"
talk0059,"talk0059"
DividedSlate_RepairCompleteDemo01,"DividedSlate_RepairCompleteDemo01"
talk0001,"talk0001"
ReportToParkShido_Imu_03,"ReportToParkShido_Imu_03"
DividedSlate_RepairCompleteDemo02,"DividedSlate_RepairCompleteDemo02"
talk0002,"talk0002"
