Label,String
Gerudo_Jewelry,"Gerudo_Jewelry"
TreasureOfLambda_DreamThunder,"TreasureOfLambda_DreamThunder"
Cenotaph_Common,"Cenotaph_Common"
Gerudo_Hotel,"Gerudo_Hotel"
Gerudo_HeroStatue,"Gerudo_HeroStatue"
D2_LostTemple_01,"D2_LostTemple_01"
TreasureOfLambda_DreamComplete,"TreasureOfLambda_DreamComplete"
Gerudo_Costume,"Gerudo_Costume"
TreasureOfLambda_DreamBattle,"TreasureOfLambda_DreamBattle"
HyruleCastle_CornerStone,"HyruleCastle_CornerStone"
Castle_Stone_01,"Castle_Stone_01"
Gerudo_Sunazara_Ctr,"Gerudo_Sunazara_Ctr"
Jizo_Hint_00,"Jizo_Hint_00"
Gerudo_HeroStatue2,"Gerudo_HeroStatue2"
KaturaCastle_Slate,"KaturaCastle_Slate"
Kanban_I-4_Raijyu01,"Kanban_I-4_Raijyu01"
Korogu_Escape1,"Korogu_Escape1"
Gerudo_Bar,"Gerudo_Bar"
Gerudo_Sunazara_West,"Gerudo_Sunazara_West"
Kanban_H-4_005,"Kanban_H-4_005"
TreasureOfLambda_DreamStatue,"TreasureOfLambda_DreamStatue"
Korogu_Escape3,"Korogu_Escape3"
Gerudo_Sunazara_East,"Gerudo_Sunazara_East"
