Label,String
talk07,"talk07"
talk_oasis007_04,"talk_oasis007_04"
talk_ZoraFencer_01,"talk_ZoraFencer_01"
talk_Goron011_10,"talk_Goron011_10"
talk38_11,"talk38_11"
talk08,"talk08"
talk_oasis007_05,"talk_oasis007_05"
talk_ZoraFencer_02,"talk_ZoraFencer_02"
talk38_12,"talk38_12"
talk09,"talk09"
talk38_13,"talk38_13"
talk38_14,"talk38_14"
talk10,"talk10"
talk_oasis007_08,"talk_oasis007_08"
talk11,"talk11"
talk_oasis007_09,"talk_oasis007_09"
talk38_16,"talk38_16"
talk12,"talk12"
talk13,"talk13"
talk_oasis007_10,"talk_oasis007_10"
talk_ZoraFencer_08,"talk_ZoraFencer_08"
talk14,"talk14"
talk_ZoraFencer_09,"talk_ZoraFencer_09"
0002,"0002"
talk15,"talk15"
0003,"0003"
talk16,"talk16"
talk17,"talk17"
talk18,"talk18"
talk19,"talk19"
0007,"0007"
talk20,"talk20"
Near_HighMountain009_01,"Near_HighMountain009_01"
talk21,"talk21"
Near_HighMountain009_02,"Near_HighMountain009_02"
talk22,"talk22"
Near_HighMountain009_03,"Near_HighMountain009_03"
talk_3_10,"talk_3_10"
talk23,"talk23"
talk_HighMountain009_01,"talk_HighMountain009_01"
talk24,"talk24"
talk_HighMountain009_02,"talk_HighMountain009_02"
talk_3_12,"talk_3_12"
talk25,"talk25"
talk26,"talk26"
talk28,"talk28"
talk_3_16,"talk_3_16"
talk_3_17,"talk_3_17"
Near_Goron033_01,"Near_Goron033_01"
talk_HighMountain009_08,"talk_HighMountain009_08"
talk_3_18,"talk_3_18"
talk30,"talk30"
Near_Goron033_02,"Near_Goron033_02"
talk_HighMountain009_09,"talk_HighMountain009_09"
0019,"0019"
talk31,"talk31"
Near_Goron033_03,"Near_Goron033_03"
talk_HighMountain009_10,"talk_HighMountain009_10"
0020,"0020"
talk33,"talk33"
talk34,"talk34"
Near_Goron011_01,"Near_Goron011_01"
talk35,"talk35"
Near_Goron011_02,"Near_Goron011_02"
talk36,"talk36"
Near_Goron011_03,"Near_Goron011_03"
0024,"0024"
talk38,"talk38"
Near_01,"Near_01"
talk39,"talk39"
talk_3_27,"talk_3_27"
talk_3_28,"talk_3_28"
talk40,"talk40"
Near_oasis007_01,"Near_oasis007_01"
talk_3_29,"talk_3_29"
talk41,"talk41"
Near_oasis007_02,"Near_oasis007_02"
talk23_1,"talk23_1"
talk42,"talk42"
Near_oasis007_03,"Near_oasis007_03"
talk_3_30,"talk_3_30"
talk_3_31,"talk_3_31"
talk44,"talk44"
talk_3_32,"talk_3_32"
talk20_1,"talk20_1"
talk_3_33,"talk_3_33"
talk_3_34,"talk_3_34"
talk47,"talk47"
talk_3_35,"talk_3_35"
talk48,"talk48"
talk_3_36,"talk_3_36"
talk49,"talk49"
talk_Goron033_01,"talk_Goron033_01"
talk_3_37,"talk_3_37"
talk_3_38,"talk_3_38"
talk50,"talk50"
Near_ZoraFencer_01,"Near_ZoraFencer_01"
talk51,"talk51"
talk_Goron033_04,"talk_Goron033_04"
Near_ZoraFencer_02,"Near_ZoraFencer_02"
talk52,"talk52"
Near_ZoraFencer_03,"Near_ZoraFencer_03"
talk_Goron011_01,"talk_Goron011_01"
talk53,"talk53"
talk54,"talk54"
talk_Goron011_02,"talk_Goron011_02"
talk_Goron011_03,"talk_Goron011_03"
talk_Goron033_08,"talk_Goron033_08"
talk38_12_02,"talk38_12_02"
talk56,"talk56"
talk_Goron033_09,"talk_Goron033_09"
talk57,"talk57"
talk_Goron011_05,"talk_Goron011_05"
talk58,"talk58"
talk_Goron033_10,"talk_Goron033_10"
talk59,"talk59"
talk_oasis007_01,"talk_oasis007_01"
talk60,"talk60"
talk_oasis007_02,"talk_oasis007_02"
talk06,"talk06"
