Label,String
Talk_0026,"Talk_0026"
Talk_3003,"Talk_3003"
Talk_0027,"Talk_0027"
0000,"0000"
Talk_3004,"Talk_3004"
Talk_0028,"Talk_0028"
Talk_3005,"Talk_3005"
Talk_0029,"Talk_0029"
Talk_0030,"Talk_0030"
0002,"0002"
Talk_3006,"Talk_3006"
Talk_0031,"Talk_0031"
0003,"0003"
Talk_4010,"Talk_4010"
near0000,"near0000"
0004,"0004"
Talk_0032,"Talk_0032"
Talk_3008,"Talk_3008"
Talk_0033,"Talk_0033"
0005,"0005"
Talk_3009,"Talk_3009"
Talk_3010,"Talk_3010"
Talk_0034,"Talk_0034"
0006,"0006"
Talk_0035,"Talk_0035"
Talk_0036,"Talk_0036"
Talk_0037,"Talk_0037"
Talk_3014,"Talk_3014"
Talk_0038,"Talk_0038"
Talk_0039,"Talk_0039"
Talk_0040,"Talk_0040"
Talk_0041,"Talk_0041"
Talk_3017,"Talk_3017"
Talk_0100,"Talk_0100"
Talk_0043,"Talk_0043"
Talk_0101,"Talk_0101"
Talk_2000,"Talk_2000"
Talk_0044,"Talk_0044"
Talk_0102,"Talk_0102"
CarryNpc_Vio_Talk_07,"CarryNpc_Vio_Talk_07"
Talk_0047,"Talk_0047"
Talk_0001,"Talk_0001"
Talk_0049,"Talk_0049"
Talk_0050,"Talk_0050"
Talk_0003,"Talk_0003"
Talk_0051,"Talk_0051"
Talk_0004,"Talk_0004"
Talk_0052,"Talk_0052"
Talk_0005,"Talk_0005"
Talk_0053,"Talk_0053"
Talk_0006,"Talk_0006"
Talk_0054,"Talk_0054"
Talk_0007,"Talk_0007"
Talk_0055,"Talk_0055"
Talk_0056,"Talk_0056"
Talk_0009,"Talk_0009"
Talk_0057,"Talk_0057"
Talk_0011,"Talk_0011"
Talk_0058,"Talk_0058"
Talk_0012,"Talk_0012"
Talk_0059,"Talk_0059"
Talk_0060,"Talk_0060"
Talk_0013,"Talk_0013"
Talk_0061,"Talk_0061"
Talk_0014,"Talk_0014"
Talk_0062,"Talk_0062"
Talk_0015,"Talk_0015"
Talk_0063,"Talk_0063"
Talk_0016,"Talk_0016"
Talk_0017,"Talk_0017"
Talk_0124,"Talk_0124"
Talk_0020,"Talk_0020"
Talk_5001,"Talk_5001"
Talk_0021,"Talk_0021"
Talk_5002,"Talk_5002"
Talk_0022,"Talk_0022"
Talk_5003,"Talk_5003"
Talk_0023,"Talk_0023"
Talk_3000,"Talk_3000"
Talk_5004,"Talk_5004"
Talk_3001,"Talk_3001"
Talk_4003,"Talk_4003"
Talk_5005,"Talk_5005"
Talk_4004,"Talk_4004"
Talk_3002,"Talk_3002"
