Label,String
Talk48,"Talk48"
Talk30,"Talk30"
Talk13,"Talk13"
Talk49,"Talk49"
Talk31,"Talk31"
Talk14,"Talk14"
Near02,"Near02"
Talk32,"Talk32"
Talk15,"Talk15"
Near03,"Near03"
Talk16,"Talk16"
Talk33,"Talk33"
Talk50,"Talk50"
Talk34,"Talk34"
Near04,"Near04"
Talk17,"Talk17"
Talk51,"Talk51"
Near05,"Near05"
Talk18,"Talk18"
Talk37,"Talk37"
Talk20,"Talk20"
Talk55,"Talk55"
Talk04,"Talk04"
Talk21,"Talk21"
Talk22,"Talk22"
Talk23,"Talk23"
Talk40,"Talk40"
Talk07,"Talk07"
Talk59,"Talk59"
Talk08,"Talk08"
Talk77,"Talk77"
Talk78,"Talk78"
Talk44,"Talk44"
Talk28,"Talk28"
Talk45,"Talk45"
Talk47,"Talk47"
