Label,String
DmT_BZ_BossIn_Text_009_c,"DmT_BZ_BossIn_Text_009_c"
DmT_BZ_BossIn_Text_009_d,"DmT_BZ_BossIn_Text_009_d"
DmT_BZ_BossIn_Text_020_b,"DmT_BZ_BossIn_Text_020_b"
DmT_BZ_BossIn_Text_003_ab,"DmT_BZ_BossIn_Text_003_ab"
DmT_BZ_BossIn_Text_017_aab,"DmT_BZ_BossIn_Text_017_aab"
DmT_BZ_BossIn_Text_000_b,"DmT_BZ_BossIn_Text_000_b"
DmT_BZ_BossIn_Text_001_b,"DmT_BZ_BossIn_Text_001_b"
DmT_BZ_BossIn_Text_002_b,"DmT_BZ_BossIn_Text_002_b"
DmT_BZ_BossIn_Text_003_b,"DmT_BZ_BossIn_Text_003_b"
DmT_BZ_BossIn_Text_004_b,"DmT_BZ_BossIn_Text_004_b"
DmT_BZ_BossIn_Text_005_b,"DmT_BZ_BossIn_Text_005_b"
DmT_BZ_BossIn_Text_006_b,"DmT_BZ_BossIn_Text_006_b"
DmT_BZ_BossIn_Text_007_b,"DmT_BZ_BossIn_Text_007_b"
DmT_BZ_BossIn_Text_008_b,"DmT_BZ_BossIn_Text_008_b"
DmT_BZ_BossIn_Text_009_b,"DmT_BZ_BossIn_Text_009_b"
DmT_BZ_BossIn_Text_012_b,"DmT_BZ_BossIn_Text_012_b"
DmT_BZ_BossIn_Text_013_b,"DmT_BZ_BossIn_Text_013_b"
DmT_BZ_BossIn_Text_014_b,"DmT_BZ_BossIn_Text_014_b"
DmT_BZ_BossIn_Text_015_b,"DmT_BZ_BossIn_Text_015_b"
DmT_BZ_BossIn_Text_016_b,"DmT_BZ_BossIn_Text_016_b"
DmT_BZ_BossIn_Text_017_ab,"DmT_BZ_BossIn_Text_017_ab"
DmT_BZ_BossIn_Text_017_b,"DmT_BZ_BossIn_Text_017_b"
