Label,String
DmT_ZE_Birth_Text_019_b,"DmT_ZE_Birth_Text_019_b"
DmT_ZE_Birth_Text_014_b,"DmT_ZE_Birth_Text_014_b"
DmT_ZE_Birth_Text_027_b,"DmT_ZE_Birth_Text_027_b"
DmT_ZE_Birth_Text_022_b,"DmT_ZE_Birth_Text_022_b"
DmT_ZE_Birth_Text_005_b,"DmT_ZE_Birth_Text_005_b"
DmT_ZE_Birth_Text_000_b,"DmT_ZE_Birth_Text_000_b"
DmT_ZE_Birth_Text_017_b,"DmT_ZE_Birth_Text_017_b"
DmT_ZE_Birth_Text_012_b,"DmT_ZE_Birth_Text_012_b"
DmT_ZE_Birth_Text_016_ac,"DmT_ZE_Birth_Text_016_ac"
DmT_ZE_Birth_Text_017_c,"DmT_ZE_Birth_Text_017_c"
DmT_ZE_Birth_Text_025_b,"DmT_ZE_Birth_Text_025_b"
DmT_ZE_Birth_Text_008_b,"DmT_ZE_Birth_Text_008_b"
DmT_ZE_Birth_Text_020_b,"DmT_ZE_Birth_Text_020_b"
DmT_ZE_Birth_Text_003_b,"DmT_ZE_Birth_Text_003_b"
DmT_ZE_Birth_Text_015_b,"DmT_ZE_Birth_Text_015_b"
DmT_ZE_Birth_Text_023_b,"DmT_ZE_Birth_Text_023_b"
DmT_ZE_Birth_Text_010_c,"DmT_ZE_Birth_Text_010_c"
DmT_ZE_Birth_Text_001_b,"DmT_ZE_Birth_Text_001_b"
DmT_ZE_Birth_Text_006_c,"DmT_ZE_Birth_Text_006_c"
DmT_ZE_Birth_Text_006_d,"DmT_ZE_Birth_Text_006_d"
DmT_ZE_Birth_Text_018_b,"DmT_ZE_Birth_Text_018_b"
DmT_ZE_Birth_Text_006_e,"DmT_ZE_Birth_Text_006_e"
DmT_ZE_Birth_Text_013_b,"DmT_ZE_Birth_Text_013_b"
DmT_ZE_Birth_Text_026_b,"DmT_ZE_Birth_Text_026_b"
DmT_ZE_Birth_Text_006_f,"DmT_ZE_Birth_Text_006_f"
DmT_ZE_Birth_Text_009_b,"DmT_ZE_Birth_Text_009_b"
DmT_ZE_Birth_Text_013_c,"DmT_ZE_Birth_Text_013_c"
DmT_ZE_Birth_Text_021_b,"DmT_ZE_Birth_Text_021_b"
DmT_ZE_Birth_Text_004_b,"DmT_ZE_Birth_Text_004_b"
DmT_ZE_Birth_Text_006_g,"DmT_ZE_Birth_Text_006_g"
DmT_ZE_Birth_Text_006_h,"DmT_ZE_Birth_Text_006_h"
DmT_ZE_Birth_Text_007_bb,"DmT_ZE_Birth_Text_007_bb"
DmT_ZE_Birth_Text_010_ac,"DmT_ZE_Birth_Text_010_ac"
DmT_ZE_Birth_Text_011_b,"DmT_ZE_Birth_Text_011_b"
DmT_ZE_Birth_Text_016_c,"DmT_ZE_Birth_Text_016_c"
DmT_ZE_Birth_Text_024_b,"DmT_ZE_Birth_Text_024_b"
DmT_ZE_Birth_Text_024_cb,"DmT_ZE_Birth_Text_024_cb"
DmT_ZE_Birth_Text_024_c,"DmT_ZE_Birth_Text_024_c"
DmT_ZE_Birth_Text_002_b,"DmT_ZE_Birth_Text_002_b"
DmT_ZE_Birth_Text_007_c,"DmT_ZE_Birth_Text_007_c"
