Label,String
Dm_OP_0016_Text_003_b,"Dm_OP_0016_Text_003_b"
Dm_OP_0016_Text_004_b,"Dm_OP_0016_Text_004_b"
Dm_OP_0016_Text_005_b,"Dm_OP_0016_Text_005_b"
Dm_OP_0016_Text_006_b,"Dm_OP_0016_Text_006_b"
Dm_OP_0016_Text_012_b,"Dm_OP_0016_Text_012_b"
Dm_OP_0016_Text_000_b,"Dm_OP_0016_Text_000_b"
Dm_OP_0016_Text_007_b,"Dm_OP_0016_Text_007_b"
Dm_OP_0016_Text_000_c,"Dm_OP_0016_Text_000_c"
Dm_OP_0016_Text_001_b,"Dm_OP_0016_Text_001_b"
Dm_OP_0016_Text_007_c,"Dm_OP_0016_Text_007_c"
Dm_OP_0016_Text_002_b,"Dm_OP_0016_Text_002_b"
Dm_OP_0016_Text_009_b,"Dm_OP_0016_Text_009_b"
