Label,String
Dm_RT_0039_Near02,"Dm_RT_0039_Near02"
Dm_RT_0039_Text_000_b,"Dm_RT_0039_Text_000_b"
Dm_RT_0039_Text_001_b,"Dm_RT_0039_Text_001_b"
Dm_RT_0039_Text_001_c,"Dm_RT_0039_Text_001_c"
Dm_RT_0039_Text_002_b,"Dm_RT_0039_Text_002_b"
Dm_RT_0039_Text_002_c,"Dm_RT_0039_Text_002_c"
Dm_RT_0039_Text_003_b,"Dm_RT_0039_Text_003_b"
Dm_RT_0039_Text_002_d,"Dm_RT_0039_Text_002_d"
Dm_RT_0039_Text_003_c,"Dm_RT_0039_Text_003_c"
Dm_RT_0039_Text_004_b,"Dm_RT_0039_Text_004_b"
Dm_RT_0039_Text_003_d,"Dm_RT_0039_Text_003_d"
Dm_RT_0039_Text_005_b,"Dm_RT_0039_Text_005_b"
