Label,String
talk0025,"talk0025"
talk0026,"talk0026"
talk0027,"talk0027"
talk0050,"talk0050"
talk0028,"talk0028"
talk0051,"talk0051"
talk0029,"talk0029"
talk0052,"talk0052"
talk0012,"talk0012"
talk0053,"talk0053"
talk0013,"talk0013"
talk0054,"talk0054"
talk0055,"talk0055"
talk0014,"talk0014"
talk0056,"talk0056"
talk0015,"talk0015"
0000,"0000"
talk0057,"talk0057"
talk0058,"talk0058"
0001,"0001"
talk0000,"talk0000"
0002,"0002"
talk0059,"talk0059"
0003,"0003"
talk0002,"talk0002"
0004,"0004"
talk0043,"talk0043"
talk0003,"talk0003"
0005,"0005"
talk0004,"talk0004"
0006,"0006"
talk0045,"talk0045"
talk0005,"talk0005"
0007,"0007"
talk0046,"talk0046"
talk0006,"talk0006"
talk0047,"talk0047"
talk0030,"talk0030"
talk0007,"talk0007"
talk0048,"talk0048"
talk0031,"talk0031"
talk0008,"talk0008"
talk0049,"talk0049"
talk0032,"talk0032"
talk0009,"talk0009"
talk0034,"talk0034"
talk0035,"talk0035"
talk0036,"talk0036"
talk0020,"talk0020"
talk0061,"talk0061"
talk0021,"talk0021"
near0000,"near0000"
talk0063,"talk0063"
talk0023,"talk0023"
near0001,"near0001"
talk0064,"talk0064"
talk0024,"talk0024"
talk0065,"talk0065"
