Label,String
Talk1019,"Talk1019"
Talk1008,"Talk1008"
near0000,"near0000"
Talk1040,"Talk1040"
near0001,"near0001"
Talk1041,"Talk1041"
near0002,"near0002"
Talk1043,"Talk1043"
Talk1044,"Talk1044"
0000,"0000"
Talk1045,"Talk1045"
Talk1032,"Talk1032"
0001,"0001"
Talk1033,"Talk1033"
Talk1046,"Talk1046"
0002,"0002"
Talk1034,"Talk1034"
Talk1021,"Talk1021"
Talk1047,"Talk1047"
0003,"0003"
Talk1022,"Talk1022"
Talk1048,"Talk1048"
Talk1035,"Talk1035"
0005,"0005"
Talk1023,"Talk1023"
Talk1036,"Talk1036"
Talk1010,"Talk1010"
Talk1049,"Talk1049"
0006,"0006"
Talk1011,"Talk1011"
Talk1025,"Talk1025"
0007,"0007"
Talk1038,"Talk1038"
Talk1039,"Talk1039"
Talk1013,"Talk1013"
Talk1001,"Talk1001"
Talk1014,"Talk1014"
Talk1027,"Talk1027"
Talk_0021,"Talk_0021"
Talk1002,"Talk1002"
Talk1028,"Talk1028"
Talk1003,"Talk1003"
Talk1016,"Talk1016"
Talk1017,"Talk1017"
