Label,String
Talk14,"Talk14"
Talk1009,"Talk1009"
Talk15,"Talk15"
Talk1011,"Talk1011"
Talk16,"Talk16"
Talk1012,"Talk1012"
0002,"0002"
Talk17,"Talk17"
Talk1013,"Talk1013"
0003,"0003"
Talk18,"Talk18"
Talk1014,"Talk1014"
Talk19,"Talk19"
Talk20,"Talk20"
0004,"0004"
Talk1015,"Talk1015"
0005,"0005"
Talk10_00,"Talk10_00"
Talk21,"Talk21"
Talk1016,"Talk1016"
0006,"0006"
Talk10_01,"Talk10_01"
Talk22,"Talk22"
Talk1017,"Talk1017"
Talk23,"Talk23"
0007,"0007"
Talk1018,"Talk1018"
Talk24,"Talk24"
0008,"0008"
Talk1020,"Talk1020"
Talk1019,"Talk1019"
0010,"0010"
0009,"0009"
Talk1021,"Talk1021"
0011,"0011"
Talk09_00,"Talk09_00"
Talk1022,"Talk1022"
Talk09_01,"Talk09_01"
0012,"0012"
Talk09_02,"Talk09_02"
0013,"0013"
0014,"0014"
0015,"0015"
0016,"0016"
0017,"0017"
0018,"0018"
Talk1004_00,"Talk1004_00"
Talk1004_01,"Talk1004_01"
Talk1009_00,"Talk1009_00"
Talk1004_02,"Talk1004_02"
Talk1004_03,"Talk1004_03"
Talk19_00,"Talk19_00"
Talk19_01,"Talk19_01"
Talk19_02,"Talk19_02"
Talk19_03,"Talk19_03"
Talk19_04,"Talk19_04"
Talk19_05,"Talk19_05"
Talk01,"Talk01"
Talk19_06,"Talk19_06"
Talk02,"Talk02"
Talk19_07,"Talk19_07"
Talk03,"Talk03"
Talk19_08,"Talk19_08"
Talk04,"Talk04"
Talk19_09,"Talk19_09"
Talk19_10,"Talk19_10"
Talk05,"Talk05"
Talk1001,"Talk1001"
Talk1014_00,"Talk1014_00"
Talk06,"Talk06"
Talk1002,"Talk1002"
Talk07,"Talk07"
Talk1003,"Talk1003"
Talk1013_00,"Talk1013_00"
Talk08,"Talk08"
Talk1018_00,"Talk1018_00"
Talk09,"Talk09"
Talk1005,"Talk1005"
Talk11,"Talk11"
Talk1006,"Talk1006"
Talk12,"Talk12"
Talk1007,"Talk1007"
Talk13,"Talk13"
Talk1008,"Talk1008"
