Label,String
Talk43,"Talk43"
Talk44,"Talk44"
Talk16,"Talk16"
Talk45,"Talk45"
Talk17,"Talk17"
Talk46,"Talk46"
Talk47,"Talk47"
Talk19,"Talk19"
Talk20,"Talk20"
Talk21,"Talk21"
Talk22,"Talk22"
Talk23,"Talk23"
Talk24,"Talk24"
Talk25,"Talk25"
Talk26,"Talk26"
Talk27,"Talk27"
Talk28,"Talk28"
Talk01,"Talk01"
0001,"0001"
Talk30,"Talk30"
Talk02,"Talk02"
0002,"0002"
Talk31,"Talk31"
Talk03,"Talk03"
0003,"0003"
Talk32,"Talk32"
Talk04,"Talk04"
0004,"0004"
Talk33,"Talk33"
Talk05,"Talk05"
0005,"0005"
Talk34,"Talk34"
Talk06,"Talk06"
0006,"0006"
Talk35,"Talk35"
Talk07,"Talk07"
Talk36,"Talk36"
Talk65,"Talk65"
Talk08,"Talk08"
Talk37,"Talk37"
Talk66,"Talk66"
Talk38,"Talk38"
Talk39,"Talk39"
Talk10,"Talk10"
Talk11,"Talk11"
Talk40,"Talk40"
Talk12,"Talk12"
Talk13,"Talk13"
