Label,String
Talk_01_06,"Talk_01_06"
Talk_01_01_01,"Talk_01_01_01"
Talk_01_07,"Talk_01_07"
Near_00_00,"Near_00_00"
Talk_01_08,"Talk_01_08"
Near_00_01,"Near_00_01"
Talk_01_09,"Talk_01_09"
Talk_00_00,"Talk_00_00"
Near_00_02,"Near_00_02"
Talk_01_06_00_01,"Talk_01_06_00_01"
Talk_00_01,"Talk_00_01"
Near_00_03,"Near_00_03"
Talk_01_06_00_02,"Talk_01_06_00_02"
Talk_00_02,"Talk_00_02"
Near_00_04,"Near_00_04"
Talk_00_03,"Talk_00_03"
Talk_01_10,"Talk_01_10"
Talk_01_11,"Talk_01_11"
Talk_01_05_00_01,"Talk_01_05_00_01"
Talk_01_05_00_02,"Talk_01_05_00_02"
Talk_01_00,"Talk_01_00"
Talk_01_01,"Talk_01_01"
Talk_01_03_00,"Talk_01_03_00"
Talk_01_02,"Talk_01_02"
Talk_01_03_01,"Talk_01_03_01"
Talk_01_03,"Talk_01_03"
Talk_01_04,"Talk_01_04"
Talk_01_05,"Talk_01_05"
