Label,String
Talk_01,"Talk_01"
Talk_14,"Talk_14"
Talk_02,"Talk_02"
Talk_15,"Talk_15"
TerrorGeneric,"TerrorGeneric"
TerrorLightning,"TerrorLightning"
Talk_03,"Talk_03"
Talk_16,"Talk_16"
Talk_04,"Talk_04"
NakedPlayer,"NakedPlayer"
Talk_18,"Talk_18"
Talk_05,"Talk_05"
Talk_19,"Talk_19"
Talk_06,"Talk_06"
Talk_07,"Talk_07"
TerrorImpulse,"TerrorImpulse"
Near_00,"Near_00"
Talk_08,"Talk_08"
Near_01,"Near_01"
Near_02,"Near_02"
0000,"0000"
0001,"0001"
TerrorSword,"TerrorSword"
0002,"0002"
TerrorIce,"TerrorIce"
0003,"0003"
TerrorFlash,"TerrorFlash"
TerrorArrow,"TerrorArrow"
TerrorHorse,"TerrorHorse"
Talk_21,"Talk_21"
Talk_22,"Talk_22"
Talk_10,"Talk_10"
Talk_23,"Talk_23"
TerrorFire,"TerrorFire"
Talk_11,"Talk_11"
TerrorExplosion,"TerrorExplosion"
Talk_12,"Talk_12"
TerrorBomb,"TerrorBomb"
Talk_13,"Talk_13"
