Label,String
Talk1100,"Talk1100"
Talk1020,"Talk1020"
Talk1021,"Talk1021"
Talk1125_01,"Talk1125_01"
WakkaCharm,"WakkaCharm"
Talk1010,"Talk1010"
Talk1130_01,"Talk1130_01"
Near0001,"Near0001"
Near0002,"Near0002"
Talk1000,"Talk1000"
Talk1130,"Talk1130"
BoneHorse,"BoneHorse"
Talk1001,"Talk1001"
Talk1131,"Talk1131"
Talk1132,"Talk1132"
0001,"0001"
Talk1120,"Talk1120"
Talk1133,"Talk1133"
0002,"0002"
Talk1131_01,"Talk1131_01"
Talk1134,"Talk1134"
Talk1131_02,"Talk1131_02"
StableHostelPicture,"StableHostelPicture"
GoldHorse,"GoldHorse"
Talk1110,"Talk1110"
Talk1136,"Talk1136"
Talk1137,"Talk1137"
Talk1030,"Talk1030"
Talk1125,"Talk1125"
Talk1138,"Talk1138"
