Label,String
Greeting_Evening,"Greeting_Evening"
Moving_Mornig,"Moving_Mornig"
Moving_Rain,"Moving_Rain"
Balloon_Midnight,"Balloon_Midnight"
Greeting_Noon,"Greeting_Noon"
Greeting_Rain,"Greeting_Rain"
Balloon_Evening,"Balloon_Evening"
Rain_Day_00,"Rain_Day_00"
Rain_Day_02_Thunder,"Rain_Day_02_Thunder"
Shiny_Day_00,"Shiny_Day_00"
Shiny_Day_01,"Shiny_Day_01"
Rain_Day_02,"Rain_Day_02"
Rain_Day_01_00,"Rain_Day_01_00"
Shiny_Evening_00,"Shiny_Evening_00"
Balloon_Day,"Balloon_Day"
Rain_Day_01_01,"Rain_Day_01_01"
Shiny_Evening_01,"Shiny_Evening_01"
Balloon_Rain,"Balloon_Rain"
Greeting_Morning,"Greeting_Morning"
Sleep,"Sleep"
Moving_Evening,"Moving_Evening"
