Label,String
Talk_07,"Talk_07"
Talk_08,"Talk_08"
Talk_09,"Talk_09"
Talk_20,"Talk_20"
Talk_21,"Talk_21"
Talk_22,"Talk_22"
Talk_10,"Talk_10"
Talk_23,"Talk_23"
Talk_24,"Talk_24"
0000,"0000"
Talk_12,"Talk_12"
Talk_00,"Talk_00"
0001,"0001"
Talk_13,"Talk_13"
Talk_14,"Talk_14"
0002,"0002"
Talk_02,"Talk_02"
Talk_15,"Talk_15"
0003,"0003"
Talk_03,"Talk_03"
Talk_16,"Talk_16"
0004,"0004"
Near_00,"Near_00"
Talk_17,"Talk_17"
Talk_04,"Talk_04"
Near_01,"Near_01"
Talk_18,"Talk_18"
Talk_05,"Talk_05"
Talk_19,"Talk_19"
Talk_06,"Talk_06"
