Label,String
Talk_08,"Talk_08"
Near_0001,"Near_0001"
Near_0002,"Near_0002"
Near_0003,"Near_0003"
Near_0004,"Near_0004"
Near_0005,"Near_0005"
Talk_22,"Talk_22"
Near_0006,"Near_0006"
Talk_10,"Talk_10"
Near_0007,"Near_0007"
Talk_11,"Talk_11"
Talk_24,"Talk_24"
Talk_12,"Talk_12"
Talk_25,"Talk_25"
Talk_13,"Talk_13"
Talk_26,"Talk_26"
Talk_01,"Talk_01"
Talk_14,"Talk_14"
Talk_02,"Talk_02"
Talk_15,"Talk_15"
Talk_16,"Talk_16"
Talk_04,"Talk_04"
Talk_05,"Talk_05"
Talk_18,"Talk_18"
Talk_19,"Talk_19"
Talk_06,"Talk_06"
